Version	Set	Item 1	Item 2	Item 3	Item 4	Item 5	Item 6
5	5	5	2	1	27	12	19
5	6	14	11	1	28	20	25
5	7	15	10	6	27	16	20
5	8	15	13	11	29	24	26
5	9	12	10	3	29	18	22
5	10	19	18	16	25	23	24
5	11	12	8	4	28	17	24
5	12	9	6	2	23	13	17
5	13	21	11	8	27	22	23
5	14	6	4	1	29	7	21
5	15	15	9	5	30	22	28
6	1	22	15	1	18	8	11
6	2	28	25	5	27	10	18
6	3	24	22	2	23	5	19
6	4	27	16	3	20	7	15
6	5	30	23	4	26	8	10
6	6	27	21	6	23	9	17
6	7	28	21	1	24	4	16
6	8	14	10	2	11	3	6
6	9	30	18	7	19	9	12
6	10	26	17	7	24	11	13
6	11	26	21	12	22	14	20
6	12	30	16	5	29	13	14
6	13	29	17	3	28	8	12
6	14	29	20	1	25	6	19
6	15	25	13	2	15	4	9
7	1	27	15	23	14	26	29
7	2	21	7	9	1	20	29
7	3	20	10	13	5	18	26
7	4	19	6	11	3	18	21
7	5	19	8	12	4	13	23
7	6	26	7	11	4	22	28
7	7	25	3	8	2	20	27
7	8	16	10	11	2	14	30
7	9	24	4	9	3	17	30
7	10	17	5	12	2	15	21
7	11	25	12	14	1	24	28
7	12	15	8	9	6	10	28
7	13	27	6	13	1	22	30
7	14	24	16	19	5	22	29
7	15	23	16	17	7	18	25
8	1	1	17	7	8	30	5
8	2	2	12	4	11	13	3
8	3	11	27	23	24	30	14
8	4	9	22	17	20	29	12
8	5	7	21	15	16	22	11
8	6	5	21	13	19	28	10
8	7	1	24	13	22	26	6
8	8	2	19	16	17	25	14
8	9	4	29	25	28	30	6
8	10	7	26	18	20	28	14
8	11	4	18	9	15	23	5
8	12	3	20	10	16	23	6
8	13	3	26	9	19	27	8
8	14	1	27	18	21	29	2
8	15	8	24	12	15	25	10
9	1	21	18	11	16	2	27
9	2	25	19	6	15	2	26
9	3	22	20	17	18	14	25
9	4	14	13	6	10	3	21
9	5	29	28	7	18	6	30
9	6	19	13	8	9	5	30
9	7	15	12	7	8	1	16
9	8	24	20	5	15	4	28
9	9	19	14	4	11	1	23
9	10	24	17	9	16	3	26
9	11	24	23	21	22	12	30
9	12	27	17	8	10	4	29
9	13	26	23	13	20	7	27
9	14	25	12	10	11	9	28
9	15	22	5	2	3	1	29
10	1	10	29	15	21	12	8
10	2	11	30	22	26	13	3
10	3	15	30	24	25	23	2
10	4	5	19	11	17	10	1
10	5	5	28	13	24	12	4
10	6	8	23	19	20	9	6
10	7	7	25	16	17	8	3
10	8	3	21	14	19	4	2
10	9	14	28	23	27	18	11
10	10	6	28	25	26	21	1
10	11	7	27	15	20	13	1
10	12	10	26	18	24	16	9
10	13	6	29	22	27	16	4
10	14	7	30	14	29	9	5
10	15	12	22	18	20	17	2
11	1	17	27	21	2	14	13
11	2	16	30	29	10	15	13
11	3	24	29	27	3	20	8
11	4	18	30	20	7	14	9
11	5	27	30	28	4	22	11
11	6	12	29	22	5	7	6
11	7	9	26	19	2	6	4
11	8	16	24	23	2	11	5
11	9	14	25	23	3	10	6
11	10	17	28	19	8	12	10
11	11	16	25	20	1	12	4
11	12	13	26	18	1	8	5
11	13	15	26	17	3	11	7
11	14	21	28	23	1	15	9
11	15	22	25	24	18	21	19
12	1	30	6	23	20	24	17
12	2	24	1	19	12	21	7
12	3	19	5	15	14	17	13
12	4	28	5	11	10	23	8
12	5	28	6	25	22	27	7
12	6	22	3	17	10	21	9
12	7	29	4	20	14	25	12
12	8	30	10	16	13	26	12
12	9	30	1	18	14	28	9
12	10	27	11	20	16	21	15
12	11	29	1	26	5	27	2
12	12	25	2	16	9	24	8
12	13	29	3	18	11	19	6
12	14	26	4	18	15	22	8
12	15	23	2	7	4	13	3
13	1	10	4	13	28	25	11
13	2	12	2	19	30	25	16
13	3	6	4	22	27	26	9
13	4	5	1	12	26	24	7
13	5	12	9	23	29	28	15
13	6	6	1	20	25	23	17
13	7	6	3	15	19	18	8
13	8	10	7	15	21	20	14
13	9	5	3	22	30	28	20
13	10	2	1	8	29	14	4
13	11	7	3	16	29	27	13
13	12	14	11	19	24	22	17
13	13	16	11	21	26	23	18
13	14	9	8	21	30	24	13
13	15	5	2	17	27	18	10
14	1	13	20	12	5	29	15
14	2	8	27	6	2	29	21
14	3	13	27	10	3	28	24
14	4	19	22	18	3	30	21
14	5	12	18	2	1	26	16
14	6	15	19	11	2	24	17
14	7	16	21	7	5	28	17
14	8	9	14	6	1	17	10
14	9	12	28	6	4	30	25
14	10	11	25	5	3	26	14
14	11	11	29	9	7	30	23
14	12	15	26	9	4	27	22
14	13	16	20	10	4	23	19
14	14	14	20	8	7	24	18
14	15	13	23	8	1	25	22
15	1	19	9	7	21	5	28
15	2	24	12	10	26	9	27
15	3	15	9	3	16	2	22
15	4	17	6	5	18	2	24
15	5	23	22	17	25	8	30
15	6	19	11	4	24	1	25
15	7	15	14	12	19	6	30
15	8	23	15	13	26	4	28
15	9	22	14	11	27	7	29
15	10	20	16	8	28	6	29
15	11	18	13	10	25	3	29
15	12	21	20	18	23	1	27
15	13	16	14	10	17	4	21
15	14	20	11	5	26	3	30
15	15	8	7	2	12	1	13
16	1	14	17	12	8	5	6
16	2	27	29	18	16	9	10
16	3	20	22	19	9	6	7
16	4	25	27	24	22	8	21
16	5	26	28	21	16	5	11
16	6	24	26	17	13	3	9
16	7	23	25	19	18	5	15
16	8	12	25	11	7	1	3
16	9	29	30	21	15	6	13
16	10	28	29	22	12	2	4
16	11	19	26	10	8	1	2
16	12	20	28	15	14	3	10
16	13	24	30	18	14	1	4
16	14	23	30	17	16	2	7
16	15	23	27	20	13	4	11
17	1	7	24	9	2	14	8
17	2	15	27	20	1	22	18
17	3	7	29	25	1	26	17
17	4	15	28	19	3	24	17
17	5	8	30	15	5	16	10
17	6	2	28	11	1	21	5
17	7	10	27	19	4	26	12
17	8	11	30	19	7	23	13
17	9	5	25	13	4	18	9
17	10	14	30	21	12	29	20
17	11	9	26	20	3	23	16
17	12	16	27	24	6	25	21
17	13	10	18	14	6	17	11
17	14	3	22	12	2	13	6
17	15	8	29	23	4	28	22
18	1	14	6	16	27	22	4
18	2	20	5	24	29	25	3
18	3	9	2	12	30	26	1
18	4	15	14	17	25	18	1
18	5	11	6	12	18	13	3
18	6	12	10	19	21	20	4
18	7	17	11	26	29	28	4
18	8	15	7	20	30	28	6
18	9	8	3	10	27	23	1
18	10	8	7	13	29	22	2
18	11	22	21	23	30	25	11
18	12	17	13	19	27	24	9
18	13	16	15	21	26	24	8
18	14	9	7	10	18	16	5
18	15	14	5	19	28	23	2
19	1	7	28	5	21	12	25
19	2	5	27	2	18	14	20
19	3	6	30	2	24	11	26
19	4	15	29	4	23	19	27
19	5	9	29	5	11	10	17
19	6	8	29	7	22	20	24
19	7	3	15	2	9	7	13
19	8	6	23	3	20	16	21
19	9	8	19	6	17	12	18
19	10	15	30	1	22	18	25
19	11	10	27	8	25	16	26
19	12	11	21	1	14	13	19
19	13	4	24	1	12	9	16
19	14	4	30	3	14	10	28
19	15	17	28	13	23	22	26
20	1	9	27	17	16	25	2
20	2	10	29	26	19	27	3
20	3	4	26	11	9	14	1
20	4	19	28	21	20	22	1
20	5	3	24	6	5	21	2
20	6	6	20	15	12	16	4
20	7	12	27	18	13	22	8
20	8	15	30	24	22	29	9
20	9	8	30	11	10	23	6
20	10	5	28	18	10	25	4
20	11	5	17	8	7	15	1
20	12	13	30	20	14	25	3
20	13	7	29	12	11	28	2
20	14	17	24	19	18	23	14
20	15	13	26	21	16	23	7
21	1	2	8	18	10	6	9
21	2	4	18	26	24	7	23
21	3	1	14	30	25	13	23
21	4	6	15	30	20	7	16
21	5	4	19	30	28	10	21
21	6	1	16	29	28	9	24
21	7	9	13	26	17	12	15
21	8	4	14	22	20	11	17
21	9	2	14	27	24	12	21
21	10	1	5	19	18	3	17
21	11	3	11	28	27	6	13
21	12	5	20	29	27	8	23
21	13	2	19	29	25	15	22
21	14	3	16	26	22	8	21
21	15	5	10	25	12	7	11
22	1	6	26	23	15	24	8
22	2	3	28	17	12	26	7
22	3	6	29	25	21	28	14
22	4	1	9	5	3	6	2
22	5	10	28	18	16	23	11
22	6	1	25	20	17	24	11
22	7	5	20	14	13	18	8
22	8	2	30	26	16	29	13
22	9	7	27	22	14	23	9
22	10	5	30	22	12	25	10
22	11	1	30	15	7	18	4
22	12	9	21	19	16	20	15
22	13	3	29	19	11	22	4
22	14	4	27	21	13	24	12
22	15	2	27	17	10	19	8
23	1	12	24	2	29	28	3
23	2	8	16	3	30	20	7
23	3	10	12	1	26	22	4
23	4	20	21	5	23	22	15
23	5	11	19	1	27	20	9
23	6	18	19	13	30	29	14
23	7	21	25	8	29	26	11
23	8	11	16	4	24	18	5
23	9	13	15	1	17	16	2
23	10	14	23	7	27	24	10
23	11	12	17	6	23	19	8
23	12	6	9	2	21	14	4
23	13	10	15	3	25	18	6
23	14	13	22	7	28	25	9
23	15	26	27	5	30	28	17
24	1	24	1	6	13	14	7
24	2	30	5	7	23	25	10
24	3	27	9	15	25	26	21
24	4	22	1	2	12	18	4
24	5	24	8	9	16	23	12
24	6	29	5	6	19	27	12
24	7	29	9	14	20	28	18
24	8	26	4	6	17	20	10
24	9	28	3	5	22	26	8
24	10	30	2	3	19	21	14
24	11	25	1	11	17	19	16
24	12	30	11	20	24	27	22
24	13	29	2	7	15	17	8
24	14	18	3	10	15	16	13
24	15	28	4	11	21	23	13
25	1	15	8	14	22	2	23
25	2	24	7	13	28	2	30
25	3	21	4	9	26	2	29
25	4	19	13	16	22	12	29
25	5	17	10	14	19	6	21
25	6	12	9	11	15	3	18
25	7	24	17	23	27	11	29
25	8	14	5	9	24	1	25
25	9	13	5	6	15	4	20
25	10	8	3	7	16	1	21
25	11	22	7	11	25	6	26
25	12	20	17	18	25	16	30
25	13	19	8	18	27	5	28
25	14	23	10	20	26	3	28
25	15	12	4	10	27	1	30
26	1	3	22	15	14	17	10
26	2	9	26	17	16	20	13
26	3	3	25	18	12	24	7
26	4	2	29	24	13	27	5
26	5	2	23	14	8	16	7
26	6	8	30	24	19	26	15
26	7	1	16	5	4	6	3
26	8	5	28	22	19	23	11
26	9	4	30	11	9	21	7
26	10	14	28	25	21	27	20
26	11	1	26	11	10	25	2
26	12	1	29	18	15	28	9
26	13	6	22	13	12	21	8
26	14	6	30	23	18	27	17
26	15	4	29	19	12	20	10
27	1	17	2	23	12	9	25
27	2	15	4	26	12	11	28
27	3	13	3	22	9	6	29
27	4	18	7	22	16	8	26
27	5	24	6	25	15	8	27
27	6	17	1	18	10	5	27
27	7	20	10	23	16	13	28
27	8	24	7	28	17	14	29
27	9	19	7	27	13	12	30
27	10	19	4	21	18	6	23
27	11	26	1	29	21	2	30
27	12	11	8	14	10	9	21
27	13	15	1	19	14	3	20
27	14	22	5	25	20	11	30
27	15	5	2	16	4	3	24
28	1	12	17	21	24	18	20
28	2	4	5	27	29	18	26
28	3	5	6	17	25	7	14
28	4	7	9	23	27	15	16
28	5	1	8	26	28	15	20
28	6	1	4	23	25	10	12
28	7	1	9	29	30	17	22
28	8	6	8	18	30	11	16
28	9	2	4	13	24	9	11
28	10	12	13	19	30	14	15
28	11	2	3	28	29	14	16
28	12	3	7	20	22	10	11
28	13	3	5	21	23	8	13
28	14	6	10	27	28	19	24
28	15	2	19	25	26	21	22
29	1	25	18	27	8	19	14
29	2	20	16	25	3	17	13
29	3	26	8	30	1	24	3
29	4	17	9	23	6	10	8
29	5	28	22	30	9	25	12
29	6	22	7	29	3	10	4
29	7	16	4	28	1	14	2
29	8	19	10	20	2	12	5
29	9	28	13	29	6	18	11
29	10	13	7	21	1	9	5
29	11	24	21	29	12	23	14
29	12	27	7	30	2	15	6
29	13	22	20	26	15	21	18
29	14	19	15	24	4	17	11
29	15	26	16	27	5	23	11
30	1	29	25	7	26	8	9
30	2	30	18	3	21	8	14
30	3	24	19	3	23	11	15
30	4	27	23	14	26	17	22
30	5	28	16	10	25	11	14
30	6	30	20	6	26	11	12
30	7	25	22	1	24	2	20
30	8	10	6	1	9	3	4
30	9	28	13	5	23	9	12
30	10	30	15	2	16	7	13
30	11	29	19	6	22	13	18
30	12	20	15	4	17	5	8
30	13	29	21	2	27	5	10
30	14	21	17	1	19	12	16
30	15	28	24	4	27	7	18
31	1	22	3	12	6	27	1
31	2	15	7	14	13	26	2
31	3	20	4	13	5	23	1
31	4	29	10	15	12	30	9
31	5	23	6	21	10	24	2
31	6	25	17	24	18	26	1
31	7	22	9	19	14	24	8
31	8	18	3	16	4	30	2
31	9	25	8	21	11	30	5
31	10	27	9	21	20	28	7
31	11	17	12	16	13	28	8
31	12	25	16	23	22	29	7
31	13	27	11	26	19	29	4
31	14	19	6	18	15	28	5
31	15	17	10	14	11	20	3
32	1	9	26	30	19	10	22
32	2	1	15	30	5	3	13
32	3	6	20	24	13	9	18
32	4	2	17	27	9	3	11
32	5	8	25	29	18	15	22
32	6	4	22	23	16	5	17
32	7	10	16	28	13	11	14
32	8	3	23	28	12	7	18
32	9	2	21	29	14	5	20
32	10	4	27	29	7	6	10
32	11	1	26	27	23	20	25
32	12	4	26	28	21	15	24
32	13	2	24	25	16	12	19
32	14	1	19	21	8	7	11
32	15	6	17	30	12	8	14
33	1	14	25	10	18	26	9
33	2	10	20	8	19	22	3
33	3	9	15	6	13	28	4
33	4	5	28	3	21	29	2
33	5	11	13	10	12	23	5
33	6	9	22	2	16	30	1
33	7	19	28	18	23	30	7
33	8	8	14	7	13	24	2
33	9	16	25	11	19	29	6
33	10	7	17	4	11	20	1
33	11	20	27	15	26	30	5
33	12	23	25	21	24	27	1
33	13	16	18	15	17	24	3
33	14	14	27	12	22	29	4
33	15	12	21	8	17	26	6
34	1	7	1	8	10	22	2
34	2	11	6	14	21	30	7
34	3	14	4	16	22	24	13
34	4	16	8	19	20	21	12
34	5	11	2	20	24	26	3
34	6	11	1	13	23	27	9
34	7	18	13	20	28	30	17
34	8	14	8	18	25	29	9
34	9	10	3	15	29	30	4
34	10	19	4	23	25	26	6
34	11	12	2	17	23	29	5
34	12	5	1	21	25	28	3
34	13	16	5	18	26	27	10
34	14	15	6	22	27	28	12
34	15	15	7	17	19	24	9
35	1	17	20	30	8	21	5
35	2	14	17	28	11	25	4
35	3	16	20	26	14	24	12
35	4	18	19	30	6	25	3
35	5	9	16	28	5	18	1
35	6	12	13	25	8	22	1
35	7	7	15	27	4	16	3
35	8	10	13	28	7	21	2
35	9	11	19	27	10	24	8
35	10	9	20	27	6	23	2
35	11	15	17	26	2	19	1
35	12	18	23	29	15	24	13
35	13	10	14	23	5	22	3
35	14	11	12	30	9	29	7
35	15	21	22	29	6	26	4
36	1	6	24	26	17	13	23
36	2	9	20	21	13	12	14
36	3	2	15	23	8	4	9
36	4	4	27	28	11	6	19
36	5	7	24	27	16	15	21
36	6	2	19	30	7	3	12
36	7	8	28	30	22	14	26
36	8	5	17	29	8	7	10
36	9	5	25	27	22	20	23
36	10	1	28	29	13	3	25
36	11	6	25	30	10	9	16
36	12	1	21	26	5	2	11
36	13	3	17	18	14	11	16
36	14	1	19	20	15	10	18
36	15	4	24	29	18	12	22
37	1	10	22	6	17	12	15
37	2	4	29	2	19	12	14
37	3	9	21	5	16	10	14
37	4	11	27	2	23	18	21
37	5	8	30	4	24	17	23
37	6	6	28	1	25	9	23
37	7	7	26	5	25	8	19
37	8	3	28	2	24	5	15
37	9	6	29	3	26	18	20
37	10	13	24	7	22	16	18
37	11	8	29	1	27	15	16
37	12	4	26	1	13	10	11
37	13	12	30	3	25	13	21
37	14	11	28	7	20	14	17
37	15	19	30	9	27	20	22
38	1	29	16	15	25	19	26
38	2	30	5	2	25	11	28
38	3	28	20	4	26	23	27
38	4	26	6	2	12	10	24
38	5	29	7	6	22	11	23
38	6	23	13	2	17	14	18
38	7	30	12	8	20	13	29
38	8	28	3	1	16	12	18
38	9	22	4	1	8	5	10
38	10	27	7	5	16	9	17
38	11	27	14	8	24	21	25
38	12	21	4	3	13	7	15
38	13	21	10	9	18	11	19
38	14	30	17	3	22	19	24
38	15	20	6	1	14	9	15
39	1	9	26	16	17	19	12
39	2	5	26	14	20	25	13
39	3	6	23	13	16	18	8
39	4	3	23	10	11	20	7
39	5	6	28	22	24	26	7
39	6	11	30	21	25	29	16
39	7	1	29	7	12	14	2
39	8	8	22	15	20	21	12
39	9	2	28	11	18	19	5
39	10	1	27	10	17	25	6
39	11	1	30	9	18	22	3
39	12	4	29	13	15	19	10
39	13	2	27	15	23	24	9
39	14	4	30	14	27	28	8
39	15	3	24	5	17	21	4
40	1	9	16	13	5	10	21
40	2	9	25	19	3	14	29
40	3	7	29	24	2	10	30
40	4	2	21	17	1	3	23
40	5	17	28	19	13	18	30
40	6	13	27	26	12	15	29
40	7	6	23	20	5	12	30
40	8	8	22	20	7	9	28
40	9	4	20	18	2	15	25
40	10	14	26	24	11	23	28
40	11	7	17	16	4	11	27
40	12	8	21	18	6	14	27
40	13	4	22	19	1	5	26
40	14	8	24	16	1	12	25
40	15	6	15	11	3	10	22
41	1	26	11	25	18	19	6
41	2	30	12	19	13	17	8
41	3	22	6	15	7	8	3
41	4	27	15	25	17	24	2
41	5	29	5	27	7	12	4
41	6	30	14	27	20	26	9
41	7	29	16	28	19	20	15
41	8	30	7	21	10	11	2
41	9	28	8	21	14	18	4
41	10	23	2	16	4	6	1
41	11	22	5	18	9	17	1
41	12	28	10	25	12	23	9
41	13	24	5	16	11	14	3
41	14	24	20	23	21	22	13
41	15	29	3	26	10	13	1
42	1	14	29	4	20	13	30
42	2	12	17	5	14	11	22
42	3	9	20	2	18	3	24
42	4	11	23	1	13	8	28
42	5	18	23	15	19	17	30
42	6	20	22	1	21	16	27
42	7	6	16	2	10	4	23
42	8	7	27	3	11	6	30
42	9	10	24	7	14	8	25
42	10	18	25	5	21	6	28
42	11	12	21	2	15	7	29
42	12	10	19	1	12	3	26
42	13	9	19	5	16	8	29
42	14	22	26	4	24	15	28
42	15	17	26	9	25	13	27
43	1	21	9	10	14	3	29
43	2	26	11	15	24	7	29
43	3	25	14	17	20	8	27
43	4	18	12	13	17	7	19
43	5	17	4	10	11	1	23
43	6	28	18	25	26	10	30
43	7	23	15	19	21	6	27
43	8	22	8	13	16	1	29
43	9	22	5	6	12	4	25
43	10	16	4	9	15	2	28
43	11	27	5	7	9	1	30
43	12	23	14	18	22	2	24
43	13	19	3	5	8	2	26
43	14	20	6	11	13	3	28
43	15	24	16	20	21	12	30
44	1	18	30	1	13	17	14
44	2	28	29	8	11	27	18
44	3	23	24	2	4	18	12
44	4	14	26	4	6	11	9
44	5	20	29	4	5	13	7
44	6	22	23	7	9	15	10
44	7	21	25	3	10	13	11
44	8	26	28	10	16	20	19
44	9	25	30	2	8	19	9
44	10	25	26	5	12	17	15
44	11	27	30	15	20	24	21
44	12	23	27	1	5	19	6
44	13	22	29	2	14	21	16
44	14	12	16	1	3	8	7
44	15	24	28	3	6	22	17
45	1	19	21	27	10	25	7
45	2	7	15	28	6	24	4
45	3	11	17	27	8	24	5
45	4	19	23	30	14	26	11
45	5	11	16	29	9	18	4
45	6	4	5	26	3	25	2
45	7	18	23	25	12	24	1
45	8	12	13	19	6	16	2
45	9	17	18	22	13	21	3
45	10	13	20	30	7	29	5
45	11	8	9	14	6	10	3
45	12	15	20	26	9	21	1
45	13	15	22	29	14	27	12
45	14	20	22	28	8	23	2
45	15	16	17	30	10	28	1
46	1	23	29	1	30	22	27
46	2	6	14	1	26	4	7
46	3	13	21	4	29	5	20
46	4	8	16	3	24	4	15
46	5	13	19	7	27	11	16
46	6	14	23	8	28	9	21
46	7	10	26	5	30	8	17
46	8	12	22	5	25	6	19
46	9	9	12	1	17	3	11
46	10	18	24	2	30	14	19
46	11	23	25	11	26	20	24
46	12	9	13	2	15	6	10
46	13	18	25	3	27	10	21
46	14	17	22	2	28	16	20
46	15	15	28	7	29	12	18
47	1	12	13	23	20	21	15
47	2	3	22	29	24	26	23
47	3	2	4	27	20	24	16
47	4	1	3	17	11	13	5
47	5	1	6	22	9	16	7
47	6	3	6	28	15	27	8
47	7	1	8	30	21	24	10
47	8	2	11	22	18	21	14
47	9	2	5	29	15	25	9
47	10	11	12	28	19	26	16
47	11	4	9	28	13	14	10
47	12	6	14	30	23	25	19
47	13	5	7	30	18	27	12
47	14	4	8	26	18	25	17
47	15	7	10	29	19	20	17
48	1	26	9	22	3	7	14
48	2	23	18	20	1	7	19
48	3	25	6	16	4	5	9
48	4	28	21	27	10	13	26
48	5	30	16	29	7	12	21
48	6	30	10	25	1	8	24
48	7	29	17	28	4	15	18
48	8	29	10	19	3	6	11
48	9	27	20	24	6	15	22
48	10	28	16	24	2	14	19
48	11	30	17	27	3	5	23
48	12	15	9	13	1	2	12
48	13	23	8	22	2	4	21
48	14	18	11	14	5	8	13
48	15	26	17	25	11	12	20
49	1	27	6	9	8	2	7
49	2	25	7	24	15	1	14
49	3	20	11	19	17	6	15
49	4	30	3	18	15	2	4
49	5	30	10	29	23	1	20
49	6	25	5	23	21	4	17
49	7	29	13	27	24	4	16
49	8	30	12	21	19	8	16
49	9	26	10	22	21	7	18
49	10	22	9	13	12	1	11
49	11	28	5	13	10	3	6
49	12	28	19	24	23	2	22
49	13	28	14	26	17	9	16
49	14	27	12	26	25	3	20
49	15	29	8	18	14	5	11
50	1	11	22	24	7	18	16
50	2	8	25	30	3	19	13
50	3	13	22	29	4	17	14
50	4	10	23	25	4	15	12
50	5	2	25	26	1	24	21
50	6	17	23	26	8	20	18
50	7	5	12	14	1	11	8
50	8	5	10	20	3	9	7
50	9	3	22	27	1	15	6
50	10	14	26	28	9	19	16
50	11	9	27	30	4	21	11
50	12	6	24	28	5	23	13
50	13	12	27	29	2	20	16
50	14	10	21	29	6	19	18
50	15	7	28	30	2	17	15
51	1	21	2	28	23	30	20
51	2	7	1	14	12	29	2
51	3	14	4	26	25	30	5
51	4	11	2	19	13	22	3
51	5	8	5	28	13	29	6
51	6	12	8	24	23	27	10
51	7	15	13	20	17	27	14
51	8	7	3	23	9	26	6
51	9	15	3	24	16	29	4
51	10	12	5	18	16	21	11
51	11	18	9	24	22	30	17
51	12	15	7	22	21	25	10
51	13	16	8	20	19	25	9
51	14	6	1	19	18	27	4
51	15	11	1	26	17	28	10
52	1	18	26	3	12	23	30
52	2	11	22	7	9	21	26
52	3	12	15	2	4	13	21
52	4	6	16	3	5	15	27
52	5	13	25	5	7	14	29
52	6	12	24	1	6	22	29
52	7	11	17	2	3	14	20
52	8	19	27	4	9	25	30
52	9	18	27	8	14	22	28
52	10	10	24	2	9	16	28
52	11	10	20	1	8	13	30
52	12	8	24	4	5	17	26
52	13	15	25	1	11	23	28
52	14	19	21	16	18	20	29
52	15	10	19	6	7	17	23
53	1	17	7	13	5	30	28
53	2	19	15	16	8	28	21
53	3	16	7	12	4	29	22
53	4	16	6	10	2	25	24
53	5	19	6	17	1	29	26
53	6	13	4	6	3	15	14
53	7	21	18	20	14	29	27
53	8	12	5	9	2	27	15
53	9	24	4	8	1	30	27
53	10	20	8	10	7	26	23
53	11	19	5	18	3	25	23
53	12	25	14	22	9	30	26
53	13	17	11	12	3	24	20
53	14	21	11	13	2	23	22
53	15	11	9	10	1	28	18
54	1	13	11	24	2	21	16
54	2	8	2	23	1	22	10
54	3	11	10	29	3	27	20
54	4	12	8	27	6	26	17
54	5	21	12	29	7	25	22
54	6	7	5	16	3	15	8
54	7	13	6	23	5	20	14
54	8	18	15	26	9	23	21
54	9	16	10	30	4	26	19
54	10	17	5	30	2	28	25
54	11	22	14	30	9	27	24
54	12	9	7	28	1	20	19
54	13	12	11	28	4	15	14
54	14	13	4	29	1	18	17
54	15	18	6	25	3	24	19
55	1	22	28	10	7	13	20
55	2	23	25	15	8	16	20
55	3	11	16	5	1	9	10
55	4	28	30	6	2	11	14
55	5	12	15	2	1	3	7
55	6	21	24	8	4	11	13
55	7	21	30	12	5	17	20
55	8	26	29	7	6	16	24
55	9	29	30	4	1	18	23
55	10	19	26	5	3	8	14
55	11	18	27	13	9	14	15
55	12	24	25	18	12	19	22
55	13	28	29	21	3	25	27
55	14	22	26	4	2	9	17
55	15	23	27	10	6	17	19
56	1	11	27	2	26	13	23
56	2	14	29	6	26	18	20
56	3	8	18	3	15	9	11
56	4	3	24	1	21	6	17
56	5	14	30	9	28	22	25
56	6	7	23	5	21	12	14
56	7	4	26	3	25	12	16
56	8	12	29	2	24	15	22
56	9	7	27	6	25	8	10
56	10	5	29	1	27	9	19
56	11	16	28	8	24	19	23
56	12	13	28	7	20	15	17
56	13	13	30	4	21	18	19
56	14	5	22	4	17	10	11
56	15	2	30	1	20	10	16
57	1	15	21	23	20	29	13
57	2	5	8	9	7	26	2
57	3	6	18	21	10	25	5
57	4	12	19	21	14	26	1
57	5	5	23	27	16	30	3
57	6	15	25	26	24	30	11
57	7	4	11	16	7	20	1
57	8	14	20	25	17	28	8
57	9	3	10	24	9	29	1
57	10	13	22	24	14	27	2
57	11	7	15	27	12	28	6
57	12	6	17	19	11	22	3
57	13	9	17	18	13	30	4
57	14	4	19	23	10	28	2
57	15	12	18	22	16	29	8
58	1	24	1	11	3	19	25
58	2	20	3	6	4	10	27
58	3	14	2	11	6	13	22
58	4	25	4	15	8	21	30
58	5	27	14	19	18	21	29
58	6	26	11	15	12	20	28
58	7	19	2	15	9	17	23
58	8	25	10	16	14	23	26
58	9	26	4	9	5	24	29
58	10	23	7	20	18	22	30
58	11	17	7	10	8	13	24
58	12	22	1	12	8	16	29
58	13	28	1	13	9	27	30
58	14	12	2	5	3	7	21
58	15	18	5	16	6	17	28
