Resp	Phase	City	CityN	Conf
1095	1	Test	2	852
1096	1	Test	2	528
1097	1	Test	2	867
1098	1	Test	2	268
1099	1	Test	2	553
110	1	Test	2	303
1100	1	Test	2	985
1101	1	Test	2	164
1102	1	Test	2	174
1103	1	Test	2	333
1104	1	Test	2	528
1105	1	Test	2	132
1106	1	Test	2	544
1107	1	Test	2	105
1108	1	Test	2	456
1109	1	Test	2	636
111	1	Test	2	838
1110	1	Test	2	165
1111	1	Test	2	433
1112	1	Test	2	663
1113	1	Test	2	056
1114	1	Test	2	919
1115	1	Test	2	013
1116	1	Test	2	685
1117	1	Test	2	794
1118	1	Test	2	744
1119	1	Test	2	526
112	1	Test	2	813
1120	1	Test	2	041
1121	1	Test	2	245
1122	1	Test	2	679
1123	1	Test	2	998
1124	1	Test	2	901
1125	1	Test	2	409
1126	1	Test	2	241
1127	1	Test	2	033
1128	1	Test	2	904
1129	1	Test	2	853
113	1	Test	2	179
1130	1	Test	2	671
1131	1	Test	2	743
1132	1	Test	2	693
1133	1	Test	2	533
1134	1	Test	2	062
1135	1	Test	2	317
1136	1	Test	2	316
1137	1	Test	2	209
1138	1	Test	2	015
1139	1	Test	2	739
114	1	Test	2	362
1140	1	Test	2	858
1141	1	Test	2	522
1142	1	Test	2	228
1143	1	Test	2	449
1144	1	Test	2	802
1145	1	Test	2	559
1146	1	Test	2	218
1147	1	Test	2	545
1148	1	Test	2	999
1149	1	Test	2	409
115	1	Test	2	079
1150	1	Test	2	955
1151	1	Test	2	731
1152	1	Test	2	106
1153	1	Test	2	697
1154	1	Test	2	951
1155	1	Test	2	276
1156	1	Test	2	458
1157	1	Test	2	608
1158	1	Test	2	212
1159	1	Test	2	413
116	1	Test	2	199
1160	1	Test	2	942
1161	1	Test	2	595
1162	1	Test	2	743
1163	1	Test	2	779
1164	1	Test	2	555
1165	1	Test	2	608
1166	1	Test	2	091
1167	1	Test	2	675
1168	1	Test	2	561
1169	1	Test	2	827
117	1	Test	2	591
1170	1	Test	2	373
1171	1	Test	2	319
1172	1	Test	2	745
1173	1	Test	2	415
1174	1	Test	2	416
1175	1	Test	2	534
1176	1	Test	2	732
1177	1	Test	2	791
1178	1	Test	2	686
1179	1	Test	2	248
118	1	Test	2	583
1180	1	Test	2	366
1181	1	Test	2	578
1182	1	Test	2	399
1183	1	Test	2	591
1184	1	Test	2	304
1185	1	Test	2	886
1186	1	Test	2	306
1187	1	Test	2	616
1188	1	Test	2	844
1189	1	Test	2	354
119	1	Test	2	538
1190	1	Test	2	547
1191	1	Test	2	525
1192	1	Test	2	124
1193	1	Test	2	147
1194	1	Test	2	184
1195	1	Test	2	274
1196	1	Test	2	431
1197	1	Test	2	855
1198	1	Test	2	164
1199	1	Test	2	278
120	1	Test	2	403
1200	1	Test	2	793
1201	1	Test	2	139
1202	1	Test	2	304
1203	1	Test	2	927
1204	1	Test	2	519
1205	1	Test	2	324
1206	1	Test	2	193
1207	1	Test	2	524
1208	1	Test	2	526
1209	1	Test	2	059
121	1	Test	2	443
1210	1	Test	2	021
1211	1	Test	2	046
1212	1	Test	2	102
1213	1	Test	2	945
1214	1	Test	2	184
1215	1	Test	2	585
1216	1	Test	2	878
1217	1	Test	2	309
1218	1	Test	2	107
1219	1	Test	2	457
122	1	Test	2	262
1220	1	Test	2	236
1221	1	Test	2	992
1222	1	Test	2	556
1223	1	Test	2	447
1224	1	Test	2	733
1225	1	Test	2	394
1226	1	Test	2	631
1227	1	Test	2	837
1228	1	Test	2	354
1229	1	Test	2	781
123	1	Test	2	098
1230	1	Test	2	367
1231	1	Test	2	776
1232	1	Test	2	833
1233	1	Test	2	751
1234	1	Test	2	406
1235	1	Test	2	043
1236	1	Test	2	584
1237	1	Test	2	307
1238	1	Test	2	469
1239	1	Test	2	931
124	1	Test	2	267
1240	1	Test	2	704
1241	1	Test	2	639
1242	1	Test	2	187
1243	1	Test	2	022
1244	1	Test	2	214
1245	1	Test	2	424
1246	1	Test	2	638
1247	1	Test	2	397
1248	1	Test	2	611
1249	1	Test	2	789
125	1	Test	2	422
1250	1	Test	2	182
1251	1	Test	2	691
1252	1	Test	2	957
1253	1	Test	2	494
1254	1	Test	2	827
1255	1	Test	2	968
1256	1	Test	2	143
1257	1	Test	2	614
1258	1	Test	2	214
1259	1	Test	2	991
126	1	Test	2	392
1260	1	Test	2	435
1261	1	Test	2	936
1262	1	Test	2	809
1263	1	Test	2	186
1264	1	Test	2	701
1265	1	Test	2	572
1266	1	Test	2	132
1267	1	Test	2	237
1268	1	Test	2	766
1269	1	Test	2	153
127	1	Test	2	082
1270	1	Test	2	371
1271	1	Test	2	208
1272	1	Test	2	484
1273	1	Test	2	059
1274	1	Test	2	631
1275	1	Test	2	266
1276	1	Test	2	729
1277	1	Test	2	056
1278	1	Test	2	371
1279	1	Test	2	416
128	1	Test	2	365
1280	1	Test	2	781
1281	1	Test	2	039
1282	1	Test	2	486
1283	1	Test	2	076
1284	1	Test	2	742
1285	1	Test	2	743
1286	1	Test	2	181
1287	1	Test	2	638
1288	1	Test	2	583
1289	1	Test	2	634
129	1	Test	2	349
1290	1	Test	2	776
1291	1	Test	2	866
1292	1	Test	2	662
1293	1	Test	2	417
1294	1	Test	2	452
1295	1	Test	2	066
1296	1	Test	2	376
1297	1	Test	2	844
1298	1	Test	2	459
1299	1	Test	2	326
130	1	Test	2	996
1300	1	Test	2	079
1301	1	Test	2	938
1302	1	Test	2	503
1303	1	Test	2	255
1304	1	Test	2	252
1305	1	Test	2	083
1306	1	Test	2	696
1307	1	Test	2	494
1308	1	Test	2	815
1309	1	Test	2	904
131	1	Test	2	453
1310	1	Test	2	901
1311	1	Test	2	972
1312	1	Test	2	434
1313	1	Test	2	771
1314	1	Test	2	794
1315	1	Test	2	336
1316	1	Test	2	133
1317	1	Test	2	369
1318	1	Test	2	949
1319	1	Test	2	706
132	1	Test	2	928
1320	1	Test	2	637
1321	1	Test	2	418
1322	1	Test	2	457
1323	1	Test	2	858
1324	1	Test	2	515
1325	1	Test	2	391
1326	1	Test	2	001
1327	1	Test	2	442
1328	1	Test	2	844
1329	1	Test	2	266
133	1	Test	2	027
1330	1	Test	2	078
1331	1	Test	2	517
1332	1	Test	2	822
1333	1	Test	2	224
1334	1	Test	2	695
1335	1	Test	2	372
1336	1	Test	2	387
1337	1	Test	2	389
1338	1	Test	2	386
1339	1	Test	2	636
134	1	Test	2	863
1340	1	Test	2	538
1341	1	Test	2	476
1342	1	Test	2	785
1343	1	Test	2	576
1344	1	Test	2	252
1345	1	Test	2	616
1346	1	Test	2	112
1347	1	Test	2	271
1348	1	Test	2	206
1349	1	Test	2	752
135	1	Test	2	262
1350	1	Test	2	889
1351	1	Test	2	114
1352	1	Test	2	213
1353	1	Test	2	723
1354	1	Test	2	103
1355	1	Test	2	718
1356	1	Test	2	468
1357	1	Test	2	718
1358	1	Test	2	684
1359	1	Test	2	798
136	1	Test	2	929
1360	1	Test	2	224
1361	1	Test	2	118
1362	1	Test	2	065
1363	1	Test	2	228
1364	1	Test	2	836
1365	1	Test	2	438
1366	1	Test	2	167
1367	1	Test	2	214
1368	1	Test	2	203
1369	1	Test	2	536
137	1	Test	2	503
1370	1	Test	2	054
1371	1	Test	2	218
1372	1	Test	2	538
1373	1	Test	2	135
1374	1	Test	2	194
1375	1	Test	2	769
1376	1	Test	2	041
1377	1	Test	2	467
1378	1	Test	2	678
1379	1	Test	2	693
138	1	Test	2	994
1380	1	Test	2	159
1381	1	Test	2	424
1382	1	Test	2	306
1383	1	Test	2	179
1384	1	Test	2	347
1385	1	Test	2	571
1386	1	Test	2	469
1387	1	Test	2	022
1388	1	Test	2	761
1389	1	Test	2	085
139	1	Test	2	369
1390	1	Test	2	432
1391	1	Test	2	354
1392	1	Test	2	453
1393	1	Test	2	861
1394	1	Test	2	993
1395	1	Test	2	997
1396	1	Test	2	165
1397	1	Test	2	657
1398	1	Test	2	444
1399	1	Test	2	326
140	1	Test	2	124
1400	1	Test	2	457
1401	1	Test	2	804
1402	1	Test	2	393
1403	1	Test	2	656
1404	1	Test	2	253
1405	1	Test	2	709
1406	1	Test	2	634
1407	1	Test	2	854
1408	1	Test	2	888
1409	1	Test	2	206
141	1	Test	2	245
1410	1	Test	2	005
1411	1	Test	2	401
1412	1	Test	2	488
1413	1	Test	2	901
1414	1	Test	2	664
1415	1	Test	2	813
1416	1	Test	2	953
1417	1	Test	2	295
1418	1	Test	2	455
1419	1	Test	2	238
142	1	Test	2	384
1420	1	Test	2	378
1421	1	Test	2	795
1422	1	Test	2	903
1423	1	Test	2	365
1424	1	Test	2	595
1425	1	Test	2	111
1426	1	Test	2	059
1427	1	Test	2	405
1428	1	Test	2	406
1429	1	Test	2	029
143	1	Test	2	209
1430	1	Test	2	349
1431	1	Test	2	918
1432	1	Test	2	969
1433	1	Test	2	027
1434	1	Test	2	908
1435	1	Test	2	311
1436	1	Test	2	726
1437	1	Test	2	919
1438	1	Test	2	752
1439	1	Test	2	994
144	1	Test	2	846
1440	1	Test	2	814
1441	1	Test	2	155
1442	1	Test	2	247
1443	1	Test	2	658
1444	1	Test	2	099
1445	1	Test	2	317
1446	1	Test	2	181
1447	1	Test	2	904
1448	1	Test	2	395
1449	1	Test	2	887
145	1	Test	2	741
1450	1	Test	2	289
1451	1	Test	2	379
1452	1	Test	2	407
1453	1	Test	2	491
1454	1	Test	2	747
1455	1	Test	2	253
1456	1	Test	2	554
1457	1	Test	2	745
1458	1	Test	2	014
1459	1	Test	2	107
146	1	Test	2	287
1460	1	Test	2	963
1461	1	Test	2	579
1462	1	Test	2	389
1463	1	Test	2	779
1464	1	Test	2	974
1465	1	Test	2	298
1466	1	Test	2	816
1467	1	Test	2	707
1468	1	Test	2	674
1469	1	Test	2	185
147	1	Test	2	451
1470	1	Test	2	655
1471	1	Test	2	614
1472	1	Test	2	438
1473	1	Test	2	992
1474	1	Test	2	099
1475	1	Test	2	029
1476	1	Test	2	092
1477	1	Test	2	007
1478	1	Test	2	578
1479	1	Test	2	512
148	1	Test	2	763
1480	1	Test	2	928
1481	1	Test	2	762
1482	1	Test	2	529
1483	1	Test	2	292
1484	1	Test	2	688
1485	1	Test	2	936
1486	1	Test	2	558
1487	1	Test	2	212
1488	1	Test	2	798
1489	1	Test	2	892
149	1	Test	2	823
1490	1	Test	2	826
1491	1	Test	2	639
1492	1	Test	2	055
1493	1	Test	2	669
1494	1	Test	2	502
1495	1	Test	2	776
1496	1	Test	2	175
1497	1	Test	2	122
1498	1	Test	2	122
1499	1	Test	2	457
150	1	Test	2	389
1500	1	Test	2	581
151	1	Test	2	597
152	1	Test	2	478
153	1	Test	2	827
154	1	Test	2	719
155	1	Test	2	052
156	1	Test	2	812
157	1	Test	2	168
158	1	Test	2	142
159	1	Test	2	897
160	1	Test	2	045
161	1	Test	2	223
162	1	Test	2	622
163	1	Test	2	437
164	1	Test	2	343
165	1	Test	2	048
166	1	Test	2	482
167	1	Test	2	187
168	1	Test	2	217
169	1	Test	2	299
170	1	Test	2	933
171	1	Test	2	762
172	1	Test	2	531
173	1	Test	2	326
174	1	Test	2	999
175	1	Test	2	627
176	1	Test	2	261
177	1	Test	2	926
178	1	Test	2	332
179	1	Test	2	697
180	1	Test	2	759
181	1	Test	2	807
182	1	Test	2	169
183	1	Test	2	937
184	1	Test	2	407
185	1	Test	2	097
186	1	Test	2	676
187	1	Test	2	551
188	1	Test	2	719
189	1	Test	2	473
190	1	Test	2	238
191	1	Test	2	049
192	1	Test	2	336
193	1	Test	2	549
194	1	Test	2	356
195	1	Test	2	843
196	1	Test	2	198
197	1	Test	2	946
198	1	Test	2	096
199	1	Test	2	185
200	1	Test	2	367
201	1	Test	2	729
202	1	Test	2	266
203	1	Test	2	829
204	1	Test	2	294
205	1	Test	2	324
206	1	Test	2	758
207	1	Test	2	403
208	1	Test	2	347
209	1	Test	2	052
210	1	Test	2	098
211	1	Test	2	683
21101	1	Jakarta (Mitra Market Research )	1	551
21102	1	Jakarta (Mitra Market Research )	1	871
21103	1	Jakarta (Mitra Market Research )	1	334
21104	1	Jakarta (Mitra Market Research )	1	141
21105	1	Jakarta (Mitra Market Research )	1	896
21106	1	Jakarta (Mitra Market Research )	1	402
21107	1	Jakarta (Mitra Market Research )	1	549
21108	1	Jakarta (Mitra Market Research )	1	001
21109	1	Jakarta (Mitra Market Research )	1	736
21110	1	Jakarta (Mitra Market Research )	1	358
21111	1	Jakarta (Mitra Market Research )	1	437
21112	1	Jakarta (Mitra Market Research )	1	425
21113	1	Jakarta (Mitra Market Research )	1	542
21114	1	Jakarta (Mitra Market Research )	1	707
21115	1	Jakarta (Mitra Market Research )	1	979
21116	1	Jakarta (Mitra Market Research )	1	621
21117	1	Jakarta (Mitra Market Research )	1	934
21118	1	Jakarta (Mitra Market Research )	1	789
21119	1	Jakarta (Mitra Market Research )	1	245
21120	1	Jakarta (Mitra Market Research )	1	504
21121	1	Jakarta (Mitra Market Research )	1	924
21122	1	Jakarta (Mitra Market Research )	1	433
21123	1	Jakarta (Mitra Market Research )	1	391
21124	1	Jakarta (Mitra Market Research )	1	913
21125	1	Jakarta (Mitra Market Research )	1	262
21126	1	Jakarta (Mitra Market Research )	1	393
21127	1	Jakarta (Mitra Market Research )	1	567
21128	1	Jakarta (Mitra Market Research )	1	722
21129	1	Jakarta (Mitra Market Research )	1	332
21130	1	Jakarta (Mitra Market Research )	1	628
21131	1	Jakarta (Mitra Market Research )	1	854
21132	1	Jakarta (Mitra Market Research )	1	013
21133	1	Jakarta (Mitra Market Research )	1	601
21134	1	Jakarta (Mitra Market Research )	1	683
21135	1	Jakarta (Mitra Market Research )	1	607
21136	1	Jakarta (Mitra Market Research )	1	342
21137	1	Jakarta (Mitra Market Research )	1	367
21138	1	Jakarta (Mitra Market Research )	1	986
21139	1	Jakarta (Mitra Market Research )	1	364
21140	1	Jakarta (Mitra Market Research )	1	106
21141	1	Jakarta (Mitra Market Research )	1	308
21142	1	Jakarta (Mitra Market Research )	1	755
21143	1	Jakarta (Mitra Market Research )	1	338
21144	1	Jakarta (Mitra Market Research )	1	266
21145	1	Jakarta (Mitra Market Research )	1	287
21146	1	Jakarta (Mitra Market Research )	1	207
21147	1	Jakarta (Mitra Market Research )	1	074
21148	1	Jakarta (Mitra Market Research )	1	289
21149	1	Jakarta (Mitra Market Research )	1	615
21150	1	Jakarta (Mitra Market Research )	1	002
21151	1	Jakarta (Mitra Market Research )	1	747
21152	1	Jakarta (Mitra Market Research )	1	326
21153	1	Jakarta (Mitra Market Research )	1	038
21154	1	Jakarta (Mitra Market Research )	1	198
21155	1	Jakarta (Mitra Market Research )	1	918
21156	1	Jakarta (Mitra Market Research )	1	014
21157	1	Jakarta (Mitra Market Research )	1	481
21158	1	Jakarta (Mitra Market Research )	1	758
21159	1	Jakarta (Mitra Market Research )	1	466
21160	1	Jakarta (Mitra Market Research )	1	043
21161	1	Jakarta (Mitra Market Research )	1	219
21162	1	Jakarta (Mitra Market Research )	1	268
21163	1	Jakarta (Mitra Market Research )	1	557
21164	1	Jakarta (Mitra Market Research )	1	708
21165	1	Jakarta (Mitra Market Research )	1	177
21166	1	Jakarta (Mitra Market Research )	1	408
21167	1	Jakarta (Mitra Market Research )	1	337
21168	1	Jakarta (Mitra Market Research )	1	312
21169	1	Jakarta (Mitra Market Research )	1	546
21170	1	Jakarta (Mitra Market Research )	1	295
21171	1	Jakarta (Mitra Market Research )	1	275
21172	1	Jakarta (Mitra Market Research )	1	463
21173	1	Jakarta (Mitra Market Research )	1	653
21174	1	Jakarta (Mitra Market Research )	1	655
21175	1	Jakarta (Mitra Market Research )	1	456
21176	1	Jakarta (Mitra Market Research )	1	718
21177	1	Jakarta (Mitra Market Research )	1	167
21178	1	Jakarta (Mitra Market Research )	1	509
21179	1	Jakarta (Mitra Market Research )	1	693
21180	1	Jakarta (Mitra Market Research )	1	548
21181	1	Jakarta (Mitra Market Research )	1	172
21182	1	Jakarta (Mitra Market Research )	1	725
21183	1	Jakarta (Mitra Market Research )	1	004
21184	1	Jakarta (Mitra Market Research )	1	855
21185	1	Jakarta (Mitra Market Research )	1	258
21186	1	Jakarta (Mitra Market Research )	1	685
21187	1	Jakarta (Mitra Market Research )	1	331
21188	1	Jakarta (Mitra Market Research )	1	259
21189	1	Jakarta (Mitra Market Research )	1	082
21190	1	Jakarta (Mitra Market Research )	1	027
21191	1	Jakarta (Mitra Market Research )	1	302
21192	1	Jakarta (Mitra Market Research )	1	934
21193	1	Jakarta (Mitra Market Research )	1	027
21194	1	Jakarta (Mitra Market Research )	1	667
21195	1	Jakarta (Mitra Market Research )	1	959
21196	1	Jakarta (Mitra Market Research )	1	191
21197	1	Jakarta (Mitra Market Research )	1	638
21198	1	Jakarta (Mitra Market Research )	1	923
21199	1	Jakarta (Mitra Market Research )	1	793
212	1	Test	2	628
21200	1	Jakarta (Mitra Market Research )	1	699
21201	1	Jakarta (Mitra Market Research )	1	298
21202	1	Jakarta (Mitra Market Research )	1	571
21203	1	Jakarta (Mitra Market Research )	1	379
21204	1	Jakarta (Mitra Market Research )	1	579
21205	1	Jakarta (Mitra Market Research )	1	662
21206	1	Jakarta (Mitra Market Research )	1	999
21207	1	Jakarta (Mitra Market Research )	1	316
21208	1	Jakarta (Mitra Market Research )	1	569
21209	1	Jakarta (Mitra Market Research )	1	535
21210	1	Jakarta (Mitra Market Research )	1	056
21211	1	Jakarta (Mitra Market Research )	1	052
21212	1	Jakarta (Mitra Market Research )	1	801
21213	1	Jakarta (Mitra Market Research )	1	253
21214	1	Jakarta (Mitra Market Research )	1	982
21215	1	Jakarta (Mitra Market Research )	1	025
21216	1	Jakarta (Mitra Market Research )	1	503
21217	1	Jakarta (Mitra Market Research )	1	671
21218	1	Jakarta (Mitra Market Research )	1	434
21219	1	Jakarta (Mitra Market Research )	1	031
21220	1	Jakarta (Mitra Market Research )	1	646
21221	1	Jakarta (Mitra Market Research )	1	123
21222	1	Jakarta (Mitra Market Research )	1	508
21223	1	Jakarta (Mitra Market Research )	1	223
21224	1	Jakarta (Mitra Market Research )	1	311
21225	1	Jakarta (Mitra Market Research )	1	851
21226	1	Jakarta (Mitra Market Research )	1	599
21227	1	Jakarta (Mitra Market Research )	1	141
21228	1	Jakarta (Mitra Market Research )	1	646
21229	1	Jakarta (Mitra Market Research )	1	839
21230	1	Jakarta (Mitra Market Research )	1	105
21231	1	Jakarta (Mitra Market Research )	1	132
21232	1	Jakarta (Mitra Market Research )	1	888
21233	1	Jakarta (Mitra Market Research )	1	095
21234	1	Jakarta (Mitra Market Research )	1	449
21235	1	Jakarta (Mitra Market Research )	1	798
21236	1	Jakarta (Mitra Market Research )	1	744
21237	1	Jakarta (Mitra Market Research )	1	093
21238	1	Jakarta (Mitra Market Research )	1	752
21239	1	Jakarta (Mitra Market Research )	1	514
21240	1	Jakarta (Mitra Market Research )	1	343
21241	1	Jakarta (Mitra Market Research )	1	084
21242	1	Jakarta (Mitra Market Research )	1	629
21243	1	Jakarta (Mitra Market Research )	1	597
21244	1	Jakarta (Mitra Market Research )	1	622
21245	1	Jakarta (Mitra Market Research )	1	655
21246	1	Jakarta (Mitra Market Research )	1	345
21247	1	Jakarta (Mitra Market Research )	1	357
21248	1	Jakarta (Mitra Market Research )	1	019
21249	1	Jakarta (Mitra Market Research )	1	158
21250	1	Jakarta (Mitra Market Research )	1	401
21251	1	Jakarta (Mitra Market Research )	1	379
21252	1	Jakarta (Mitra Market Research )	1	896
21253	1	Jakarta (Mitra Market Research )	1	793
21254	1	Jakarta (Mitra Market Research )	1	289
21255	1	Jakarta (Mitra Market Research )	1	777
21256	1	Jakarta (Mitra Market Research )	1	684
21257	1	Jakarta (Mitra Market Research )	1	258
21258	1	Jakarta (Mitra Market Research )	1	216
21259	1	Jakarta (Mitra Market Research )	1	137
21260	1	Jakarta (Mitra Market Research )	1	162
21261	1	Jakarta (Mitra Market Research )	1	173
21262	1	Jakarta (Mitra Market Research )	1	928
21263	1	Jakarta (Mitra Market Research )	1	735
21264	1	Jakarta (Mitra Market Research )	1	361
21265	1	Jakarta (Mitra Market Research )	1	567
21266	1	Jakarta (Mitra Market Research )	1	171
21267	1	Jakarta (Mitra Market Research )	1	387
21268	1	Jakarta (Mitra Market Research )	1	316
21269	1	Jakarta (Mitra Market Research )	1	221
21270	1	Jakarta (Mitra Market Research )	1	007
21271	1	Jakarta (Mitra Market Research )	1	495
21272	1	Jakarta (Mitra Market Research )	1	994
21273	1	Jakarta (Mitra Market Research )	1	228
21274	1	Jakarta (Mitra Market Research )	1	982
21275	1	Jakarta (Mitra Market Research )	1	928
21276	1	Jakarta (Mitra Market Research )	1	733
21277	1	Jakarta (Mitra Market Research )	1	183
21278	1	Jakarta (Mitra Market Research )	1	797
21279	1	Jakarta (Mitra Market Research )	1	239
21280	1	Jakarta (Mitra Market Research )	1	172
21281	1	Jakarta (Mitra Market Research )	1	032
21282	1	Jakarta (Mitra Market Research )	1	011
21283	1	Jakarta (Mitra Market Research )	1	179
21284	1	Jakarta (Mitra Market Research )	1	791
21285	1	Jakarta (Mitra Market Research )	1	056
21286	1	Jakarta (Mitra Market Research )	1	864
21287	1	Jakarta (Mitra Market Research )	1	155
21288	1	Jakarta (Mitra Market Research )	1	328
21289	1	Jakarta (Mitra Market Research )	1	399
21290	1	Jakarta (Mitra Market Research )	1	381
21291	1	Jakarta (Mitra Market Research )	1	455
21292	1	Jakarta (Mitra Market Research )	1	651
21293	1	Jakarta (Mitra Market Research )	1	835
21294	1	Jakarta (Mitra Market Research )	1	054
21295	1	Jakarta (Mitra Market Research )	1	956
21296	1	Jakarta (Mitra Market Research )	1	998
21297	1	Jakarta (Mitra Market Research )	1	364
21298	1	Jakarta (Mitra Market Research )	1	376
21299	1	Jakarta (Mitra Market Research )	1	976
213	1	Test	2	006
21300	1	Jakarta (Mitra Market Research )	1	758
21301	1	Jakarta (Mitra Market Research )	1	521
21302	1	Jakarta (Mitra Market Research )	1	033
21303	1	Jakarta (Mitra Market Research )	1	104
21304	1	Jakarta (Mitra Market Research )	1	322
21305	1	Jakarta (Mitra Market Research )	1	026
21306	1	Jakarta (Mitra Market Research )	1	803
21307	1	Jakarta (Mitra Market Research )	1	612
21308	1	Jakarta (Mitra Market Research )	1	709
21309	1	Jakarta (Mitra Market Research )	1	718
21310	1	Jakarta (Mitra Market Research )	1	796
21311	1	Jakarta (Mitra Market Research )	1	059
21312	1	Jakarta (Mitra Market Research )	1	649
21313	1	Jakarta (Mitra Market Research )	1	984
21314	1	Jakarta (Mitra Market Research )	1	056
21315	1	Jakarta (Mitra Market Research )	1	873
21316	1	Jakarta (Mitra Market Research )	1	038
21317	1	Jakarta (Mitra Market Research )	1	059
21318	1	Jakarta (Mitra Market Research )	1	243
21319	1	Jakarta (Mitra Market Research )	1	109
21320	1	Jakarta (Mitra Market Research )	1	192
21321	1	Jakarta (Mitra Market Research )	1	394
21322	1	Jakarta (Mitra Market Research )	1	894
21323	1	Jakarta (Mitra Market Research )	1	254
21324	1	Jakarta (Mitra Market Research )	1	614
21325	1	Jakarta (Mitra Market Research )	1	093
21326	1	Jakarta (Mitra Market Research )	1	299
21327	1	Jakarta (Mitra Market Research )	1	114
21328	1	Jakarta (Mitra Market Research )	1	268
21329	1	Jakarta (Mitra Market Research )	1	663
21330	1	Jakarta (Mitra Market Research )	1	781
21331	1	Jakarta (Mitra Market Research )	1	061
21332	1	Jakarta (Mitra Market Research )	1	519
21333	1	Jakarta (Mitra Market Research )	1	583
21334	1	Jakarta (Mitra Market Research )	1	598
21335	1	Jakarta (Mitra Market Research )	1	049
21336	1	Jakarta (Mitra Market Research )	1	201
21337	1	Jakarta (Mitra Market Research )	1	142
21338	1	Jakarta (Mitra Market Research )	1	402
21339	1	Jakarta (Mitra Market Research )	1	771
21340	1	Jakarta (Mitra Market Research )	1	781
21341	1	Jakarta (Mitra Market Research )	1	684
21342	1	Jakarta (Mitra Market Research )	1	335
21343	1	Jakarta (Mitra Market Research )	1	303
21344	1	Jakarta (Mitra Market Research )	1	668
21345	1	Jakarta (Mitra Market Research )	1	925
21346	1	Jakarta (Mitra Market Research )	1	747
21347	1	Jakarta (Mitra Market Research )	1	928
21348	1	Jakarta (Mitra Market Research )	1	479
21349	1	Jakarta (Mitra Market Research )	1	668
21350	1	Jakarta (Mitra Market Research )	1	068
21351	1	Jakarta (Mitra Market Research )	1	191
21352	1	Jakarta (Mitra Market Research )	1	413
21353	1	Jakarta (Mitra Market Research )	1	719
21354	1	Jakarta (Mitra Market Research )	1	666
21355	1	Jakarta (Mitra Market Research )	1	414
21356	1	Jakarta (Mitra Market Research )	1	073
21357	1	Jakarta (Mitra Market Research )	1	698
21358	1	Jakarta (Mitra Market Research )	1	126
21359	1	Jakarta (Mitra Market Research )	1	464
21360	1	Jakarta (Mitra Market Research )	1	586
21361	1	Jakarta (Mitra Market Research )	1	626
21362	1	Jakarta (Mitra Market Research )	1	337
21363	1	Jakarta (Mitra Market Research )	1	371
21364	1	Jakarta (Mitra Market Research )	1	293
21365	1	Jakarta (Mitra Market Research )	1	414
21366	1	Jakarta (Mitra Market Research )	1	792
21367	1	Jakarta (Mitra Market Research )	1	799
