VERNUM	Task	Concept	Var01	Var02	Var03	Var04	Var05	Var06	Var07
1	13	4	11	7	11	7	3	6	9301
1	13	5	4	3	4	16	5	4	5503
1	14	1	6	7	12	14	4	3	9401
1	14	2	13	3	5	14	2	2	5201
1	14	3	1	1	10	3	5	0	1503
1	14	4	15	4	1	11	3	8	6302
1	14	5	3	6	3	2	1	5	8102
1	15	1	19	6	2	15	3	7	8301
1	15	2	18	3	7	7	1	1	5101
1	15	3	9	4	11	17	5	5	6502
1	15	4	14	5	6	13	2	4	7203
1	15	5	13	2	13	4	4	0	4402
2	1	1	17	7	10	5	1	1	9103
2	1	2	16	1	11	10	2	0	1202
2	1	3	2	5	7	8	3	6	7303
2	1	4	5	2	13	6	4	0	4401
2	1	5	5	6	5	9	5	3	8502
2	2	1	19	6	2	16	3	8	8303
2	2	2	4	1	12	9	2	0	1201
2	2	3	12	7	3	13	4	5	9403
2	2	4	10	4	6	1	1	4	6101
2	2	5	17	3	8	7	5	2	5502
2	3	1	7	6	11	12	1	4	8102
2	3	2	2	5	4	6	2	7	7202
2	3	3	13	3	2	11	4	3	5401
2	3	4	20	4	9	10	3	6	6303
2	3	5	16	2	1	5	5	0	4501
2	4	1	3	5	10	17	2	5	7203
2	4	2	21	2	1	4	4	0	2402
2	4	3	11	7	5	8	3	6	9301
2	4	4	18	1	9	15	5	0	1503
2	4	5	15	4	6	2	1	8	6102
2	5	1	9	1	13	1	5	0	1503
2	5	2	14	6	8	5	1	2	8101
2	5	3	16	7	4	15	2	7	9202
2	5	4	9	2	3	12	4	0	4403
2	5	5	1	3	12	17	3	1	5301
2	6	1	21	2	3	6	4	0	2402
2	6	2	7	4	11	5	3	2	6303
2	6	3	3	5	8	3	1	6	7102
2	6	4	6	6	9	3	2	7	8201
2	6	5	5	1	10	7	2	0	1203
2	7	1	6	1	8	6	2	0	1202
2	7	2	18	4	4	4	1	2	6102
2	7	3	2	2	11	2	3	0	4301
2	7	4	8	5	7	13	5	1	7503
2	7	5	5	7	9	8	4	7	9403
2	8	1	17	3	13	7	2	4	5202
2	8	2	14	2	6	10	5	0	4501
2	8	3	8	5	2	9	4	8	7403
2	8	4	7	6	1	16	3	3	8301
2	8	5	3	1	12	3	1	0	1103
2	9	1	20	6	10	8	5	1	8501
2	9	2	9	5	3	9	3	3	7303
2	9	3	5	7	7	11	1	5	9101
2	9	4	19	4	4	7	4	2	6402
2	9	5	13	3	5	14	2	6	5202
2	10	1	15	4	13	1	3	8	6303
2	10	2	2	6	1	11	2	5	8203
2	10	3	4	3	12	17	5	7	5501
2	10	4	1	5	9	5	1	6	7102
2	10	5	8	2	5	14	4	0	4401
2	11	1	5	4	5	5	2	6	6202
2	11	2	17	1	11	5	4	0	1403
2	11	3	18	6	6	2	2	5	8202
2	11	4	4	5	5	3	4	2	7401
2	11	5	15	7	12	13	3	8	9301
2	12	1	12	4	10	16	1	1	6103
2	12	2	14	7	8	10	4	4	9402
2	12	3	6	5	2	3	5	2	7502
2	12	4	16	1	11	15	2	0	1201
2	12	5	10	3	6	13	3	8	5303
2	13	1	4	2	7	6	3	0	4302
2	13	2	11	1	3	4	4	0	1401
2	13	3	2	3	11	10	1	4	5101
2	13	4	15	6	10	2	5	5	8502
2	13	5	1	7	5	12	2	3	9203
2	14	1	20	5	6	14	3	6	7301
2	14	2	6	4	1	15	1	3	6103
2	14	3	8	7	4	1	2	1	9202
2	14	4	13	1	12	13	4	0	1403
2	14	5	9	6	2	11	5	7	8502
2	15	1	7	3	13	3	4	4	5403
2	15	2	15	2	8	16	3	0	4301
2	15	3	10	5	9	7	2	7	7202
2	15	4	11	1	3	6	5	0	1501
2	15	5	17	6	7	9	1	2	8102
3	1	1	18	4	11	12	1	6	6102
3	1	2	10	2	2	5	4	0	4403
3	1	3	14	6	12	2	5	5	8503
3	1	4	12	7	5	8	3	8	9301
3	1	5	5	1	1	17	2	0	1201
3	2	1	3	2	6	1	3	0	4302
3	2	2	4	4	10	8	5	1	6503
3	2	3	3	7	7	4	4	8	9403
3	2	4	16	5	3	10	2	2	7201
3	2	5	19	3	8	15	1	5	5101
3	3	1	11	3	2	4	4	4	5402
3	3	2	14	6	9	13	3	7	8303
3	3	3	7	5	7	3	2	6	7203
3	3	4	10	1	13	2	5	0	1501
3	3	5	20	4	4	7	1	3	6102
3	4	1	20	2	9	14	3	0	4301
3	4	2	19	3	13	11	5	3	5501
3	4	3	9	7	4	12	2	7	9202
3	4	4	8	1	10	6	4	0	1402
3	4	5	18	6	8	16	1	2	8103
3	5	1	2	4	5	9	1	4	6102
3	5	2	19	2	6	17	4	0	4401
3	5	3	6	7	11	4	2	8	9203
3	5	4	12	5	3	5	5	5	7503
3	5	5	15	3	12	14	3	1	5302
3	6	1	21	2	3	6	4	0	2402
3	6	2	7	4	11	5	3	2	6303
3	6	3	3	5	8	3	1	6	7102
3	6	4	6	6	9	3	2	7	8201
3	6	5	5	1	10	7	2	0	1203
3	7	1	16	1	6	5	2	0	1203
3	7	2	13	4	10	17	3	4	6302
3	7	3	2	2	8	1	3	0	4302
3	7	4	5	5	1	7	5	6	7501
3	7	5	17	6	3	16	4	7	8401
3	8	1	4	6	13	8	5	6	8502
3	8	2	1	5	1	12	2	2	7203
3	8	3	3	7	4	9	1	8	9101
3	8	4	8	1	12	10	1	0	1103
3	8	5	19	2	2	2	4	0	4401
3	9	1	5	3	11	15	4	5	5402
3	9	2	21	2	5	11	3	0	2303
3	9	3	14	7	9	13	5	3	9503
3	9	4	11	6	1	3	2	4	8202
3	9	5	18	4	7	6	1	1	6101
3	10	1	2	4	9	3	2	6	6201
3	10	2	3	5	8	17	3	5	7301
3	10	3	13	3	7	2	4	3	5402
3	10	4	20	1	2	9	5	0	1503
3	10	5	16	7	13	7	1	8	9103
3	11	1	5	4	5	5	2	6	6202
3	11	2	17	1	11	5	4	0	1403
3	11	3	18	6	6	2	2	5	8202
3	11	4	4	5	5	3	4	2	7401
3	11	5	15	7	12	13	3	8	9301
3	12	1	9	7	3	11	2	7	9203
3	12	2	4	6	5	8	4	1	8401
3	12	3	11	2	11	16	5	0	4502
3	12	4	19	4	12	5	1	2	6101
3	12	5	15	1	6	6	3	0	1302
3	13	1	7	7	11	12	3	2	9303
3	13	2	22	2	9	10	3	0	3301
3	13	3	12	5	4	14	4	4	7403
3	13	4	6	3	10	9	2	8	5202
3	13	5	10	4	1	1	5	6	6501
3	14	1	6	1	5	11	5	0	1502
3	14	2	3	5	12	4	2	1	7203
3	14	3	19	4	3	8	1	7	6103
3	14	4	17	3	10	13	1	3	5102
3	14	5	1	6	6	15	4	5	8401
3	15	1	4	2	7	17	4	0	4401
3	15	2	12	6	13	10	1	6	8102
3	15	3	10	5	4	6	5	4	7501
3	15	4	7	7	8	5	2	7	9203
3	15	5	16	1	2	16	3	0	1302
4	1	1	13	6	5	15	5	1	8502
4	1	2	11	7	8	14	2	3	9202
4	1	3	14	5	9	3	1	8	7103
4	1	4	15	4	7	2	4	5	6403
4	1	5	2	3	6	13	3	2	5301
4	2	1	8	1	10	12	5	0	1502
4	2	2	1	6	2	14	1	8	8102
4	2	3	3	2	1	4	5	0	4503
4	2	4	4	5	4	7	2	2	7201
4	2	5	18	3	12	1	3	7	5301
4	3	1	17	4	3	3	1	6	6102
4	3	2	9	3	2	10	3	3	5303
4	3	3	5	2	11	12	5	0	4503
4	3	4	20	7	9	7	2	1	9201
4	3	5	5	1	13	15	4	0	1401
4	4	1	11	5	4	1	3	7	7303
4	4	2	19	1	12	9	4	0	1402
4	4	3	12	2	13	8	4	0	4403
4	4	4	12	4	11	17	1	5	6101
4	4	5	9	7	10	13	2	4	9202
4	5	1	10	5	5	16	2	3	7201
4	5	2	2	6	3	11	1	6	8102
4	5	3	14	2	8	5	5	0	4503
4	5	4	13	4	6	2	3	1	6303
4	5	5	17	3	7	6	4	5	5401
4	6	1	21	2	3	6	4	0	2402
4	6	2	7	4	11	5	3	2	6303
4	6	3	3	5	8	3	1	6	7102
4	6	4	6	6	9	3	2	7	8201
4	6	5	5	1	10	7	2	0	1203
4	7	1	10	2	13	15	3	0	4301
4	7	2	8	7	5	9	1	8	9102
4	7	3	5	3	10	16	4	2	5401
4	7	4	7	6	1	4	5	4	8502
4	7	5	16	1	8	11	2	0	1203
4	8	1	1	7	1	12	4	5	9403
4	8	2	20	4	7	3	5	8	6501
4	8	3	4	6	12	13	2	4	8202
4	8	4	3	1	3	8	1	0	1103
4	8	5	14	3	4	6	3	2	5302
4	9	1	15	5	9	14	3	6	7301
4	9	2	17	7	8	1	2	8	9203
4	9	3	18	6	11	17	5	1	8502
4	9	4	12	4	6	2	4	3	6401
4	9	5	6	3	2	10	1	7	5103
4	10	1	19	3	7	3	2	7	5202
4	10	2	3	1	4	4	5	0	1502
4	10	3	5	6	13	6	1	1	8101
4	10	4	15	2	3	5	4	0	4403
4	10	5	13	5	11	7	3	5	7301
4	11	1	5	4	5	5	2	6	6202
4	11	2	17	1	11	5	4	0	1403
4	11	3	18	6	6	2	2	5	8202
4	11	4	4	5	5	3	4	2	7401
4	11	5	15	7	12	13	3	8	9301
4	12	1	16	7	9	7	4	3	9401
4	12	2	20	4	10	15	2	4	6202
4	12	3	8	5	12	2	5	2	7503
4	12	4	16	2	1	5	3	0	4303
4	12	5	18	1	5	12	1	0	1101
4	13	1	15	1	9	11	3	0	1303
4	13	2	9	3	8	13	4	1	5403
4	13	3	7	5	7	9	5	3	7502
4	13	4	11	7	2	17	2	4	9201
4	13	5	4	6	6	10	1	6	8102
4	14	1	1	7	2	8	2	8	9201
4	14	2	17	2	5	16	5	0	4502
4	14	3	14	6	11	1	1	2	8102
4	14	4	10	4	3	4	4	7	6401
4	14	5	2	1	13	14	3	0	1303
4	15	1	1	6	1	7	5	1	8503
4	15	2	6	5	6	9	2	5	7202
4	15	3	19	3	12	2	4	8	5402
4	15	4	5	4	4	13	1	6	6101
4	15	5	6	2	10	11	3	0	4303
5	1	1	8	2	10	16	3	0	4303
5	1	2	7	4	6	5	4	3	6402
5	1	3	4	5	1	17	2	2	7203
5	1	4	10	7	5	3	5	4	9501
5	1	5	9	1	2	14	3	0	1301
5	2	1	12	7	11	1	4	7	9401
5	2	2	20	4	8	10	1	2	6102
5	2	3	9	2	3	12	5	0	4503
5	2	4	17	3	7	8	1	6	5101
5	2	5	16	6	13	15	2	5	8202
5	3	1	1	2	11	13	3	0	4303
5	3	2	8	7	5	2	5	7	9501
5	3	3	15	3	4	6	3	1	5302
5	3	4	14	5	12	1	2	4	7201
5	3	5	6	1	9	4	4	0	1403
5	4	1	18	3	4	3	1	6	5102
5	4	2	2	5	12	5	4	3	7401
5	4	3	13	6	8	7	1	8	8103
5	4	4	3	4	13	8	5	5	6503
5	4	5	11	1	7	9	2	0	1202
5	5	1	18	2	1	14	3	0	4303
5	5	2	10	1	9	16	1	0	1102
5	5	3	14	6	2	17	3	8	8302
5	5	4	2	5	6	4	2	4	7201
5	5	5	20	3	10	11	4	7	5401
5	6	1	21	2	3	6	4	0	2402
5	6	2	7	4	11	5	3	2	6303
5	6	3	3	5	8	3	1	6	7102
5	6	4	6	6	9	3	2	7	8201
5	6	5	5	1	10	7	2	0	1203
5	7	1	20	2	6	12	4	0	4402
5	7	2	12	7	4	10	1	3	9103
5	7	3	6	4	3	15	5	6	6502
5	7	4	18	5	9	14	5	2	7501
5	7	5	17	6	5	6	2	1	8201
5	8	1	16	1	13	3	4	0	1401
5	8	2	19	6	3	16	5	2	8501
5	8	3	11	7	12	1	2	8	9202
5	8	4	1	3	7	8	1	6	5103
5	8	5	4	4	2	13	3	5	6303
5	9	1	13	3	1	17	3	3	5301
5	9	2	13	2	9	10	5	0	4502
5	9	3	8	5	8	4	1	5	7103
5	9	4	9	4	11	2	2	7	6203
5	9	5	7	1	10	7	4	0	1402
5	10	1	15	7	12	6	5	4	9502
5	10	2	9	5	2	11	3	7	7303
5	10	3	5	4	10	12	1	1	6101
5	10	4	7	2	8	5	4	0	4403
5	10	5	3	6	7	15	2	6	8201
5	11	1	5	4	5	5	2	6	6202
5	11	2	17	1	11	5	4	0	1403
5	11	3	18	6	6	2	2	5	8202
5	11	4	4	5	5	3	4	2	7401
5	11	5	15	7	12	13	3	8	9301
5	12	1	10	4	6	7	1	2	6102
5	12	2	16	7	11	14	2	4	9201
5	12	3	4	3	13	6	5	5	5503
5	12	4	3	1	5	9	3	0	1302
5	12	5	8	2	3	8	4	0	4401
5	13	1	17	5	4	16	1	1	7103
5	13	2	20	6	7	4	4	2	8403
5	13	3	1	1	1	12	3	0	1302
5	13	4	12	7	9	15	5	3	9502
5	13	5	2	3	2	2	2	8	5201
5	14	1	14	7	5	10	4	6	9401
5	14	2	13	1	11	3	5	0	1502
5	14	3	19	4	13	17	2	7	6203
5	14	4	17	2	1	1	3	0	4303
5	14	5	11	3	12	9	3	3	5302
5	15	1	6	3	3	14	1	3	5102
5	15	2	15	5	10	13	2	8	7202
5	15	3	7	7	4	5	5	1	9503
5	15	4	5	4	8	14	4	5	6401
5	15	5	18	6	6	11	1	4	8101
6	1	1	19	7	9	9	2	7	9203
6	1	2	15	1	7	4	1	0	1101
6	1	3	2	6	5	6	3	5	8301
6	1	4	8	5	13	10	5	1	7503
6	1	5	19	2	11	17	5	0	4502
6	2	1	13	5	6	5	4	4	7403
6	2	2	6	2	3	12	4	0	4402
6	2	3	16	4	1	15	1	8	6101
6	2	4	1	1	10	11	2	0	1202
6	2	5	3	6	2	16	3	6	8301
6	3	1	6	3	4	7	2	2	5203
6	3	2	9	5	3	17	4	1	7403
6	3	3	20	4	8	2	1	8	6102
6	3	4	16	2	5	1	3	0	4302
6	3	5	11	7	12	13	5	7	9501
6	4	1	11	2	4	9	5	0	4501
6	4	2	10	3	1	3	4	5	5401
6	4	3	7	1	7	8	1	0	1103
6	4	4	8	6	6	1	3	2	8302
6	4	5	5	7	8	10	2	3	9203
6	5	1	18	3	2	12	2	4	5202
6	5	2	4	4	13	7	5	1	6501
6	5	3	12	6	11	15	1	6	8103
6	5	4	14	5	9	11	3	3	7302
6	5	5	17	1	10	16	4	0	1403
6	6	1	21	2	3	6	4	0	2402
6	6	2	7	4	11	5	3	2	6303
6	6	3	3	5	8	3	1	6	7102
6	6	4	6	6	9	3	2	7	8201
6	6	5	5	1	10	7	2	0	1203
6	7	1	15	1	10	6	2	0	1203
6	7	2	19	4	11	5	5	5	6501
6	7	3	5	6	9	4	1	4	8102
6	7	4	18	3	12	8	4	7	5401
6	7	5	8	5	3	3	3	2	7303
6	8	1	14	1	2	10	3	0	1302
6	8	2	22	2	5	2	5	0	3501
6	8	3	1	6	8	6	2	7	8201
6	8	4	13	3	6	8	1	6	5103
6	8	5	4	7	7	13	4	8	9402
6	9	1	10	5	1	16	5	8	7503
6	9	2	11	1	7	9	2	0	1202
6	9	3	1	2	13	13	3	0	4302
6	9	4	3	7	12	7	4	4	9401
6	9	5	9	4	4	1	1	5	6101
6	10	1	7	4	4	14	3	1	6301
6	10	2	16	6	1	3	1	3	8103
6	10	3	10	2	8	17	5	0	4502
6	10	4	6	3	11	11	2	2	5201
6	10	5	12	5	6	2	4	6	7403
6	11	1	5	4	5	5	2	6	6202
6	11	2	17	1	11	5	4	0	1403
6	11	3	18	6	6	2	2	5	8202
6	11	4	4	5	5	3	4	2	7401
6	11	5	15	7	12	13	3	8	9301
6	12	1	2	5	12	5	4	6	7401
6	12	2	20	7	2	4	2	5	9203
6	12	3	7	3	13	7	1	4	5103
6	12	4	17	4	5	15	3	1	6302
6	12	5	14	6	3	12	5	7	8502
6	13	1	11	7	6	13	1	2	9101
6	13	2	15	2	10	11	5	0	4502
6	13	3	19	4	1	1	3	3	6301
6	13	4	13	3	8	5	4	8	5403
6	13	5	1	1	9	6	2	0	1203
6	14	1	5	7	13	10	2	2	9203
6	14	2	9	6	7	9	3	5	8303
6	14	3	12	2	9	2	4	0	4402
6	14	4	2	5	2	14	5	4	7501
6	14	5	4	1	11	8	1	0	1102
6	15	1	3	7	4	15	4	8	9401
6	15	2	8	5	12	4	3	1	7301
6	15	3	15	1	3	16	1	0	1102
6	15	4	17	6	10	12	2	3	8203
6	15	5	16	3	5	17	5	7	5502
7	1	1	18	3	9	2	3	1	5302
7	1	2	10	1	11	8	2	0	1202
7	1	3	5	2	12	3	4	0	4401
7	1	4	6	4	10	7	1	6	6103
7	1	5	20	5	13	12	5	2	7503
7	2	1	3	4	1	13	3	8	6302
7	2	2	11	7	5	11	1	3	9103
7	2	3	10	1	6	14	2	0	1203
7	2	4	12	6	2	15	4	5	8401
7	2	5	13	2	8	4	5	0	4501
7	3	1	13	5	3	17	4	7	7402
7	3	2	16	7	4	6	1	6	9101
7	3	3	4	4	10	1	2	4	6201
7	3	4	14	2	7	3	3	0	4303
7	3	5	20	6	5	16	5	8	8502
7	4	1	19	5	8	8	4	3	7402
7	4	2	18	6	4	15	2	6	8203
7	4	3	6	1	6	5	1	0	1103
7	4	4	5	3	11	10	5	4	5502
7	4	5	14	4	3	9	3	5	6301
7	5	1	3	2	12	17	5	0	4503
7	5	2	2	3	9	11	2	1	5201
7	5	3	12	4	1	7	4	2	6401
7	5	4	9	1	2	10	1	0	1102
7	5	5	7	7	7	3	3	7	9302
7	6	1	21	2	3	6	4	0	2402
7	6	2	7	4	11	5	3	2	6303
7	6	3	3	5	8	3	1	6	7102
7	6	4	6	6	9	3	2	7	8201
7	6	5	5	1	10	7	2	0	1203
7	7	1	1	6	12	1	4	3	8402
7	7	2	8	5	13	13	2	8	7201
7	7	3	20	2	4	16	5	0	4501
7	7	4	15	7	6	5	5	6	9503
7	7	5	17	3	7	4	1	4	5103
7	8	1	8	4	1	2	2	7	6201
7	8	2	17	1	13	6	4	0	1403
7	8	3	15	3	10	9	1	2	5102
7	8	4	18	2	11	14	5	0	4503
7	8	5	4	7	8	12	3	5	9302
7	9	1	10	1	9	12	4	0	1402
7	9	2	2	2	4	1	3	0	4302
7	9	3	1	5	5	16	3	1	7301
7	9	4	13	6	3	6	2	8	8203
7	9	5	3	4	2	15	1	2	6101
7	10	1	5	5	13	5	1	5	7102
7	10	2	7	3	12	7	4	4	5401
7	10	3	12	7	6	14	5	6	9503
7	10	4	7	2	5	17	3	0	4301
7	10	5	19	6	2	11	3	7	8303
7	11	1	5	4	5	5	2	6	6202
7	11	2	17	1	11	5	4	0	1403
7	11	3	18	6	6	2	2	5	8202
7	11	4	4	5	5	3	4	2	7401
7	11	5	15	7	12	13	3	8	9301
7	12	1	6	5	10	2	1	1	7103
7	12	2	18	3	3	13	4	2	5402
7	12	3	14	6	11	10	2	3	8201
7	12	4	2	4	7	8	2	8	6203
7	12	5	16	7	9	3	5	4	9501
7	13	1	9	6	8	4	3	6	8303
7	13	2	11	1	1	9	2	0	1202
7	13	3	12	5	13	14	1	5	7102
7	13	4	3	7	7	11	4	3	9401
7	13	5	20	4	6	13	5	1	6501
7	14	1	9	1	11	17	1	0	1102
7	14	2	7	7	2	9	2	8	9203
7	14	3	8	3	3	16	3	7	5301
7	14	4	21	2	5	7	5	0	2503
7	14	5	14	4	4	8	4	6	6402
7	15	1	9	2	12	2	4	0	4403
7	15	2	6	1	8	8	1	0	1101
7	15	3	4	6	10	6	3	3	8302
7	15	4	20	5	1	15	2	1	7202
7	15	5	15	3	9	5	5	4	5501
8	1	1	18	5	4	10	4	7	7401
8	1	2	10	7	10	12	1	2	9102
8	1	3	1	3	8	3	3	5	5303
8	1	4	4	2	3	4	5	0	4502
8	1	5	13	1	13	1	5	0	1503
8	2	1	2	5	9	1	3	4	7302
8	2	2	19	3	5	3	2	3	5203
8	2	3	16	1	12	4	1	0	1101
8	2	4	11	6	1	14	2	7	8203
8	2	5	17	4	11	6	4	2	6401
8	3	1	4	2	6	16	5	0	4501
8	3	2	2	4	3	7	1	8	6102
8	3	3	5	7	2	10	2	6	9202
8	3	4	3	1	12	17	3	0	1301
8	3	5	9	6	7	12	4	5	8403
8	4	1	22	2	5	11	3	0	3301
8	4	2	14	5	4	9	5	2	7501
8	4	3	13	3	1	2	1	5	5103
8	4	4	20	6	9	15	4	1	8403
8	4	5	8	7	7	5	2	4	9202
8	5	1	19	6	8	6	1	6	8102
8	5	2	15	5	11	7	2	3	7203
8	5	3	6	3	6	15	4	8	5402
8	5	4	11	4	13	13	3	1	6303
8	5	5	16	7	10	16	5	7	9501
8	6	1	21	2	3	6	4	0	2402
8	6	2	7	4	11	5	3	2	6303
8	6	3	3	5	8	3	1	6	7102
8	6	4	6	6	9	3	2	7	8201
8	6	5	5	1	10	7	2	0	1203
8	7	1	10	2	12	10	4	0	4401
8	7	2	17	1	11	11	1	0	1103
8	7	3	7	3	13	5	3	8	5303
8	7	4	10	6	8	14	2	2	8201
8	7	5	1	4	2	2	5	5	6502
8	8	1	13	2	7	17	3	0	4301
8	8	2	12	1	9	4	1	0	1102
8	8	3	5	7	1	1	2	1	9201
8	8	4	18	5	3	12	4	7	7402
8	8	5	4	4	6	13	5	6	6503
8	9	1	8	7	4	8	3	2	9301
8	9	2	18	4	10	9	5	3	6502
8	9	3	6	6	5	3	1	4	8103
8	9	4	19	2	12	14	4	0	4402
8	9	5	15	1	2	2	2	0	1203
8	10	1	7	6	1	10	4	7	8401
8	10	2	3	5	11	3	2	8	7202
8	10	3	4	1	13	4	5	0	1501
8	10	4	10	4	10	12	1	5	6102
8	10	5	20	3	5	9	3	1	5303
8	11	1	5	4	5	5	2	6	6202
8	11	2	17	1	11	5	4	0	1403
8	11	3	18	6	6	2	2	5	8202
8	11	4	4	5	5	3	4	2	7401
8	11	5	15	7	12	13	3	8	9301
8	12	1	2	2	6	13	5	0	4503
8	12	2	12	5	4	6	2	4	7201
8	12	3	5	4	9	7	4	8	6402
8	12	4	9	3	7	15	1	3	5102
8	12	5	17	7	8	8	3	6	9303
8	13	1	19	6	9	16	1	6	8102
8	13	2	11	5	4	5	2	1	7203
8	13	3	1	7	2	11	3	4	9301
8	13	4	14	1	12	17	4	0	1401
8	13	5	15	2	3	1	5	0	4503
8	14	1	13	3	2	15	3	3	5302
8	14	2	7	2	6	6	5	0	4501
8	14	3	20	6	8	11	4	5	8403
8	14	4	2	7	3	1	2	7	9203
8	14	5	16	5	5	4	1	2	7102
8	15	1	11	2	1	9	5	0	4502
8	15	2	14	3	11	13	4	7	5402
8	15	3	9	7	7	3	3	2	9301
8	15	4	19	4	10	7	1	5	6101
8	15	5	1	1	13	17	2	0	1203
9	1	1	3	3	6	14	1	8	5102
9	1	2	5	4	5	10	5	6	6501
9	1	3	12	6	7	12	4	1	8403
9	1	4	2	1	3	16	2	0	1201
9	1	5	17	5	13	2	3	3	7303
9	2	1	16	2	9	5	4	0	4403
9	2	2	4	1	2	10	5	0	1502
9	2	3	8	3	12	8	1	4	5102
9	2	4	11	7	10	14	3	2	9301
9	2	5	6	4	1	11	2	1	6201
9	3	1	10	5	11	4	2	8	7202
9	3	2	16	6	8	16	1	3	8103
9	3	3	15	4	4	17	5	5	6501
9	3	4	8	2	10	8	4	0	4402
9	3	5	18	7	13	7	3	7	9303
9	4	1	7	1	2	9	5	0	1501
9	4	2	11	5	4	13	4	6	7402
9	4	3	17	6	5	6	2	5	8201
9	4	4	6	7	1	12	1	1	9103
9	4	5	13	3	6	1	3	4	5303
9	5	1	1	6	12	17	1	3	8102
9	5	2	4	1	3	2	4	0	1403
9	5	3	14	4	7	5	5	2	6503
9	5	4	20	3	8	3	2	6	5202
9	5	5	18	2	9	15	3	0	4301
9	6	1	21	2	3	6	4	0	2402
9	6	2	7	4	11	5	3	2	6303
9	6	3	3	5	8	3	1	6	7102
9	6	4	6	6	9	3	2	7	8201
9	6	5	5	1	10	7	2	0	1203
9	7	1	12	7	7	13	3	4	9303
9	7	2	15	5	11	1	5	7	7501
9	7	3	5	2	5	5	4	0	4401
9	7	4	2	6	10	3	2	8	8202
9	7	5	7	1	13	9	1	0	1102
9	8	1	19	4	1	15	2	6	6203
9	8	2	18	1	9	16	5	0	1501
9	8	3	13	5	6	4	1	4	7101
9	8	4	14	2	4	12	3	0	4303
9	8	5	3	3	12	2	4	7	5402
9	9	1	5	6	8	11	1	8	8102
9	9	2	8	3	3	10	5	2	5501
9	9	3	9	7	11	14	3	3	9303
9	9	4	10	4	2	8	4	1	6403
9	9	5	16	5	12	6	2	5	7201
9	10	1	21	2	11	1	3	0	2301
9	10	2	8	4	13	5	4	8	6402
9	10	3	18	7	3	13	1	4	9101
9	10	4	11	3	4	16	5	3	5503
9	10	5	10	5	8	7	2	5	7202
9	11	1	5	4	5	5	2	6	6202
9	11	2	17	1	11	5	4	0	1403
9	11	3	18	6	6	2	2	5	8202
9	11	4	4	5	5	3	4	2	7401
9	11	5	15	7	12	13	3	8	9301
9	12	1	1	1	6	3	5	0	1503
9	12	2	6	2	5	7	4	0	4403
9	12	3	2	4	7	4	2	6	6201
9	12	4	19	6	10	15	3	1	8302
9	12	5	6	3	1	11	1	2	5102
9	13	1	16	6	12	2	5	8	8502
9	13	2	17	1	2	6	2	0	1201
