13.item.4x10.max.diff.design						
	Version	Question	Option.1	Option.2	Option.3	Option.4
48	5.0	8.0	7.0	11.0	3.0	5.0
49	5.0	9.0	2.0	8.0	3.0	6.0
50	5.0	10.0	9.0	11.0	6.0	10.0
51	6.0	1.0	12.0	9.0	13.0	2.0
52	6.0	2.0	13.0	8.0	11.0	1.0
53	6.0	3.0	13.0	7.0	6.0	5.0
54	6.0	4.0	9.0	8.0	5.0	4.0
55	6.0	5.0	7.0	1.0	4.0	12.0
56	6.0	6.0	2.0	4.0	6.0	10.0
57	6.0	7.0	3.0	5.0	1.0	10.0
58	6.0	8.0	10.0	9.0	11.0	7.0
59	6.0	9.0	3.0	12.0	11.0	6.0
60	6.0	10.0	2.0	7.0	3.0	8.0
61	7.0	1.0	3.0	6.0	9.0	1.0
62	7.0	2.0	10.0	3.0	12.0	7.0
63	7.0	3.0	13.0	5.0	4.0	3.0
64	7.0	4.0	12.0	5.0	1.0	11.0
65	7.0	5.0	10.0	6.0	11.0	13.0
66	7.0	6.0	9.0	11.0	2.0	4.0
67	7.0	7.0	8.0	5.0	10.0	2.0
68	7.0	8.0	2.0	7.0	13.0	1.0
69	7.0	9.0	4.0	8.0	6.0	7.0
70	7.0	10.0	9.0	13.0	12.0	8.0
71	8.0	1.0	9.0	5.0	7.0	13.0
72	8.0	2.0	3.0	8.0	13.0	6.0
73	8.0	3.0	13.0	1.0	4.0	12.0
74	8.0	4.0	5.0	2.0	6.0	12.0
75	8.0	5.0	9.0	3.0	2.0	4.0
76	8.0	6.0	11.0	2.0	1.0	7.0
77	8.0	7.0	11.0	3.0	12.0	10.0
78	8.0	8.0	11.0	8.0	4.0	5.0
79	8.0	9.0	8.0	10.0	1.0	9.0
80	8.0	10.0	4.0	7.0	10.0	6.0
81	9.0	1.0	7.0	3.0	6.0	12.0
82	9.0	2.0	8.0	11.0	12.0	9.0
83	9.0	3.0	2.0	5.0	12.0	10.0
84	9.0	4.0	10.0	13.0	6.0	11.0
85	9.0	5.0	13.0	7.0	5.0	9.0
86	9.0	6.0	13.0	2.0	1.0	3.0
87	9.0	7.0	10.0	1.0	9.0	4.0
88	9.0	8.0	1.0	6.0	5.0	8.0
89	9.0	9.0	8.0	4.0	7.0	2.0
90	9.0	10.0	11.0	5.0	4.0	3.0
91	10.0	1.0	7.0	10.0	2.0	4.0
92	10.0	2.0	8.0	3.0	1.0	4.0
93	10.0	3.0	13.0	6.0	12.0	4.0
94	10.0	4.0	2.0	11.0	1.0	6.0
95	10.0	5.0	13.0	11.0	3.0	10.0
96	10.0	6.0	11.0	7.0	12.0	9.0
97	10.0	7.0	5.0	6.0	9.0	3.0
98	10.0	8.0	2.0	9.0	13.0	8.0
99	10.0	9.0	12.0	10.0	8.0	5.0
100	10.0	10.0	13.0	7.0	5.0	1.0
101	11.0	1.0	6.0	13.0	1.0	11.0
102	11.0	2.0	9.0	6.0	5.0	2.0
103	11.0	3.0	6.0	12.0	10.0	4.0
104	11.0	4.0	7.0	4.0	11.0	5.0
105	11.0	5.0	1.0	9.0	10.0	7.0
106	11.0	6.0	13.0	7.0	12.0	8.0
107	11.0	7.0	8.0	4.0	9.0	3.0
108	11.0	8.0	2.0	11.0	10.0	8.0
109	11.0	9.0	12.0	1.0	2.0	3.0
110	11.0	10.0	3.0	5.0	10.0	13.0
111	12.0	1.0	9.0	10.0	13.0	12.0
112	12.0	2.0	5.0	13.0	6.0	1.0
113	12.0	3.0	7.0	13.0	3.0	4.0
114	12.0	4.0	10.0	6.0	8.0	7.0
115	12.0	5.0	12.0	3.0	5.0	8.0
116	12.0	6.0	8.0	9.0	11.0	4.0
117	12.0	7.0	2.0	5.0	7.0	11.0
118	12.0	8.0	1.0	10.0	11.0	3.0
119	12.0	9.0	2.0	12.0	4.0	1.0
120	12.0	10.0	3.0	2.0	9.0	6.0
121	13.0	1.0	8.0	2.0	10.0	4.0
122	13.0	2.0	11.0	7.0	8.0	1.0
123	13.0	3.0	8.0	3.0	12.0	5.0
124	13.0	4.0	2.0	13.0	7.0	12.0
125	13.0	5.0	11.0	3.0	4.0	13.0
126	13.0	6.0	9.0	10.0	13.0	5.0
127	13.0	7.0	11.0	12.0	6.0	9.0
128	13.0	8.0	2.0	1.0	3.0	9.0
129	13.0	9.0	6.0	1.0	4.0	5.0
130	13.0	10.0	3.0	6.0	10.0	7.0
131	14.0	1.0	5.0	9.0	12.0	7.0
132	14.0	2.0	6.0	3.0	2.0	12.0
133	14.0	3.0	10.0	1.0	4.0	12.0
134	14.0	4.0	11.0	7.0	3.0	10.0
135	14.0	5.0	11.0	2.0	1.0	5.0
136	14.0	6.0	9.0	8.0	4.0	11.0
137	14.0	7.0	10.0	8.0	13.0	2.0
138	14.0	8.0	6.0	8.0	7.0	1.0
139	14.0	9.0	4.0	13.0	6.0	5.0
140	14.0	10.0	3.0	13.0	1.0	9.0
141	15.0	1.0	13.0	8.0	11.0	10.0
142	15.0	2.0	11.0	6.0	12.0	3.0
143	15.0	3.0	11.0	5.0	9.0	2.0
144	15.0	4.0	12.0	2.0	13.0	4.0
145	15.0	5.0	8.0	4.0	3.0	9.0
146	15.0	6.0	10.0	4.0	5.0	7.0
147	15.0	7.0	2.0	1.0	3.0	7.0
148	15.0	8.0	6.0	9.0	13.0	7.0
149	15.0	9.0	6.0	8.0	1.0	5.0
150	15.0	10.0	1.0	9.0	10.0	12.0
151	16.0	1.0	2.0	3.0	13.0	5.0
152	16.0	2.0	13.0	1.0	8.0	11.0
153	16.0	3.0	9.0	13.0	6.0	4.0
154	16.0	4.0	4.0	11.0	10.0	5.0
155	16.0	5.0	2.0	9.0	1.0	10.0
156	16.0	6.0	10.0	6.0	7.0	3.0
157	16.0	7.0	4.0	12.0	7.0	1.0
158	16.0	8.0	8.0	5.0	9.0	7.0
159	16.0	9.0	8.0	6.0	12.0	2.0
160	16.0	10.0	11.0	12.0	3.0	9.0
161	17.0	1.0	3.0	8.0	13.0	1.0
162	17.0	2.0	5.0	1.0	10.0	12.0
163	17.0	3.0	4.0	9.0	11.0	1.0
164	17.0	4.0	10.0	6.0	11.0	13.0
165	17.0	5.0	8.0	4.0	6.0	5.0
166	17.0	6.0	2.0	9.0	6.0	3.0
167	17.0	7.0	11.0	7.0	5.0	2.0
168	17.0	8.0	12.0	2.0	13.0	4.0
169	17.0	9.0	9.0	8.0	12.0	7.0
170	17.0	10.0	7.0	4.0	10.0	3.0
171	18.0	1.0	6.0	12.0	11.0	7.0
172	18.0	2.0	5.0	6.0	1.0	2.0
173	18.0	3.0	9.0	10.0	6.0	8.0
174	18.0	4.0	5.0	3.0	12.0	10.0
175	18.0	5.0	7.0	3.0	8.0	2.0
176	18.0	6.0	11.0	3.0	9.0	4.0
177	18.0	7.0	4.0	10.0	13.0	2.0
178	18.0	8.0	1.0	8.0	4.0	12.0
179	18.0	9.0	1.0	7.0	13.0	9.0
180	18.0	10.0	8.0	13.0	5.0	11.0
181	19.0	1.0	7.0	12.0	11.0	8.0
182	19.0	2.0	1.0	9.0	2.0	7.0
183	19.0	3.0	7.0	6.0	4.0	10.0
184	19.0	4.0	8.0	5.0	6.0	9.0
185	19.0	5.0	11.0	1.0	10.0	5.0
186	19.0	6.0	5.0	3.0	4.0	12.0
187	19.0	7.0	6.0	1.0	13.0	3.0
188	19.0	8.0	3.0	10.0	8.0	2.0
189	19.0	9.0	13.0	11.0	2.0	4.0
190	19.0	10.0	12.0	13.0	10.0	9.0
191	20.0	1.0	5.0	4.0	9.0	7.0
192	20.0	2.0	8.0	6.0	5.0	2.0
193	20.0	3.0	5.0	12.0	3.0	1.0
194	20.0	4.0	3.0	11.0	7.0	2.0
195	20.0	5.0	11.0	4.0	8.0	12.0
196	20.0	6.0	9.0	1.0	13.0	11.0
197	20.0	7.0	13.0	8.0	10.0	3.0
198	20.0	8.0	7.0	13.0	6.0	12.0
199	20.0	9.0	10.0	4.0	6.0	1.0
200	20.0	10.0	9.0	10.0	12.0	2.0
201	21.0	1.0	13.0	1.0	6.0	2.0
202	21.0	2.0	11.0	9.0	2.0	12.0
203	21.0	3.0	5.0	4.0	10.0	2.0
204	21.0	4.0	13.0	9.0	8.0	5.0
205	21.0	5.0	8.0	6.0	10.0	11.0
206	21.0	6.0	7.0	4.0	8.0	1.0
207	21.0	7.0	5.0	11.0	3.0	7.0
208	21.0	8.0	7.0	13.0	10.0	12.0
209	21.0	9.0	6.0	12.0	3.0	4.0
210	21.0	10.0	10.0	1.0	9.0	3.0
211	22.0	1.0	6.0	5.0	11.0	13.0
212	22.0	2.0	1.0	5.0	7.0	12.0
213	22.0	3.0	8.0	5.0	10.0	3.0
214	22.0	4.0	1.0	2.0	11.0	10.0
215	22.0	5.0	2.0	7.0	8.0	13.0
216	22.0	6.0	2.0	3.0	6.0	9.0
217	22.0	7.0	9.0	7.0	4.0	10.0
218	22.0	8.0	11.0	8.0	9.0	12.0
219	22.0	9.0	12.0	3.0	13.0	4.0
220	22.0	10.0	6.0	1.0	8.0	4.0
221	23.0	1.0	10.0	5.0	1.0	2.0
222	23.0	2.0	4.0	1.0	3.0	9.0
223	23.0	3.0	1.0	8.0	12.0	11.0
224	23.0	4.0	13.0	5.0	9.0	12.0
225	23.0	5.0	4.0	2.0	11.0	13.0
226	23.0	6.0	10.0	7.0	8.0	13.0
227	23.0	7.0	4.0	12.0	6.0	7.0
228	23.0	8.0	3.0	7.0	5.0	11.0
229	23.0	9.0	8.0	2.0	3.0	6.0
230	23.0	10.0	10.0	9.0	11.0	6.0
231	24.0	1.0	10.0	11.0	13.0	7.0
232	24.0	2.0	9.0	13.0	12.0	3.0
233	24.0	3.0	1.0	2.0	4.0	13.0
234	24.0	4.0	5.0	2.0	9.0	7.0
235	24.0	5.0	10.0	5.0	12.0	1.0
236	24.0	6.0	6.0	11.0	4.0	5.0
237	24.0	7.0	6.0	8.0	2.0	12.0
238	24.0	8.0	1.0	6.0	7.0	3.0
239	24.0	9.0	4.0	3.0	10.0	8.0
240	24.0	10.0	11.0	9.0	1.0	8.0
241	25.0	1.0	5.0	11.0	10.0	12.0
242	25.0	2.0	2.0	8.0	4.0	12.0
243	25.0	3.0	6.0	7.0	12.0	1.0
244	25.0	4.0	13.0	11.0	4.0	1.0
245	25.0	5.0	5.0	8.0	7.0	13.0
246	25.0	6.0	13.0	6.0	3.0	10.0
247	25.0	7.0	9.0	1.0	8.0	3.0
248	25.0	8.0	7.0	2.0	3.0	11.0
249	25.0	9.0	9.0	6.0	2.0	5.0
250	25.0	10.0	4.0	9.0	7.0	10.0
251	26.0	1.0	9.0	6.0	11.0	5.0
252	26.0	2.0	2.0	1.0	11.0	7.0
253	26.0	3.0	3.0	11.0	12.0	13.0
254	26.0	4.0	4.0	7.0	3.0	9.0
255	26.0	5.0	5.0	12.0	2.0	4.0
256	26.0	6.0	6.0	4.0	10.0	13.0
257	26.0	7.0	8.0	10.0	3.0	2.0
258	26.0	8.0	9.0	10.0	1.0	12.0
259	26.0	9.0	13.0	1.0	8.0	5.0
260	26.0	10.0	8.0	7.0	6.0	12.0
261	27.0	1.0	7.0	11.0	3.0	6.0
262	27.0	2.0	6.0	13.0	4.0	1.0
263	27.0	3.0	6.0	9.0	8.0	5.0
264	27.0	4.0	3.0	10.0	4.0	9.0
265	27.0	5.0	10.0	5.0	7.0	13.0
266	27.0	6.0	10.0	8.0	12.0	11.0
267	27.0	7.0	9.0	12.0	2.0	13.0
268	27.0	8.0	5.0	1.0	3.0	12.0
269	27.0	9.0	7.0	2.0	8.0	1.0
270	27.0	10.0	2.0	11.0	4.0	5.0
271	28.0	1.0	4.0	8.0	3.0	11.0
272	28.0	2.0	13.0	12.0	8.0	7.0
273	28.0	3.0	8.0	1.0	6.0	10.0
274	28.0	4.0	12.0	1.0	5.0	4.0
275	28.0	5.0	3.0	5.0	13.0	6.0
276	28.0	6.0	11.0	10.0	5.0	9.0
277	28.0	7.0	13.0	9.0	1.0	2.0
278	28.0	8.0	7.0	9.0	4.0	6.0
279	28.0	9.0	2.0	3.0	7.0	10.0
280	28.0	10.0	11.0	6.0	2.0	12.0
281	29.0	1.0	4.0	7.0	3.0	8.0
282	29.0	2.0	3.0	12.0	1.0	5.0
283	29.0	3.0	3.0	6.0	9.0	13.0
284	29.0	4.0	11.0	5.0	4.0	13.0
285	29.0	5.0	1.0	11.0	6.0	7.0
286	29.0	6.0	9.0	10.0	8.0	11.0
287	29.0	7.0	1.0	10.0	2.0	13.0
288	29.0	8.0	6.0	12.0	10.0	4.0
289	29.0	9.0	12.0	2.0	9.0	7.0
290	29.0	10.0	2.0	6.0	5.0	8.0
291	30.0	1.0	12.0	11.0	4.0	3.0
292	30.0	2.0	3.0	13.0	5.0	2.0
293	30.0	3.0	8.0	7.0	3.0	1.0
294	30.0	4.0	9.0	1.0	11.0	13.0
295	30.0	5.0	5.0	4.0	7.0	9.0
296	30.0	6.0	6.0	12.0	9.0	8.0
297	30.0	7.0	1.0	6.0	5.0	10.0
298	30.0	8.0	6.0	11.0	7.0	2.0
299	30.0	9.0	8.0	2.0	10.0	4.0
300	30.0	10.0	13.0	10.0	7.0	12.0
301	31.0	1.0	9.0	5.0	13.0	8.0
302	31.0	2.0	1.0	5.0	3.0	7.0
303	31.0	3.0	12.0	2.0	5.0	6.0
304	31.0	4.0	4.0	9.0	1.0	6.0
305	31.0	5.0	4.0	2.0	3.0	13.0
306	31.0	6.0	11.0	8.0	12.0	4.0
307	31.0	7.0	10.0	11.0	6.0	3.0
308	31.0	8.0	7.0	11.0	9.0	2.0
309	31.0	9.0	12.0	7.0	13.0	10.0
310	31.0	10.0	1.0	10.0	8.0	2.0
311	32.0	1.0	11.0	7.0	12.0	1.0
312	32.0	2.0	5.0	7.0	6.0	4.0
313	32.0	3.0	7.0	2.0	9.0	13.0
314	32.0	4.0	2.0	10.0	4.0	12.0
315	32.0	5.0	10.0	11.0	5.0	9.0
316	32.0	6.0	3.0	13.0	1.0	10.0
317	32.0	7.0	2.0	5.0	8.0	3.0
318	32.0	8.0	12.0	3.0	9.0	6.0
319	32.0	9.0	6.0	11.0	8.0	13.0
320	32.0	10.0	1.0	4.0	9.0	8.0
321	33.0	1.0	4.0	5.0	2.0	8.0
322	33.0	2.0	10.0	8.0	7.0	6.0
323	33.0	3.0	8.0	12.0	13.0	1.0
324	33.0	4.0	1.0	4.0	6.0	11.0
325	33.0	5.0	13.0	7.0	5.0	11.0
326	33.0	6.0	2.0	12.0	3.0	11.0
327	33.0	7.0	3.0	9.0	1.0	7.0
328	33.0	8.0	4.0	13.0	3.0	10.0
329	33.0	9.0	5.0	10.0	9.0	12.0
330	33.0	10.0	6.0	13.0	9.0	2.0
331	34.0	1.0	10.0	11.0	2.0	8.0
332	34.0	2.0	9.0	2.0	4.0	1.0
333	34.0	3.0	12.0	2.0	5.0	6.0
334	34.0	4.0	7.0	6.0	1.0	10.0
335	34.0	5.0	5.0	8.0	7.0	4.0
336	34.0	6.0	3.0	7.0	11.0	12.0
337	34.0	7.0	4.0	13.0	3.0	6.0
338	34.0	8.0	5.0	3.0	9.0	10.0
339	34.0	9.0	9.0	12.0	13.0	8.0
340	34.0	10.0	13.0	5.0	1.0	11.0
341	35.0	1.0	10.0	5.0	4.0	12.0
342	35.0	2.0	3.0	5.0	9.0	6.0
343	35.0	3.0	8.0	5.0	1.0	2.0
344	35.0	4.0	7.0	12.0	8.0	3.0
345	35.0	5.0	2.0	9.0	7.0	10.0
346	35.0	6.0	7.0	4.0	1.0	13.0
347	35.0	7.0	13.0	11.0	8.0	9.0
348	35.0	8.0	6.0	13.0	12.0	2.0
349	35.0	9.0	10.0	11.0	6.0	1.0
350	35.0	10.0	2.0	11.0	3.0	4.0
351	36.0	1.0	13.0	1.0	2.0	12.0
352	36.0	2.0	8.0	12.0	5.0	7.0
353	36.0	3.0	9.0	12.0	10.0	11.0
354	36.0	4.0	5.0	3.0	11.0	2.0
355	36.0	5.0	10.0	13.0	3.0	8.0
356	36.0	6.0	3.0	6.0	1.0	9.0
357	36.0	7.0	8.0	4.0	6.0	11.0
358	36.0	8.0	2.0	7.0	10.0	6.0
359	36.0	9.0	13.0	9.0	7.0	4.0
360	36.0	10.0	5.0	1.0	4.0	10.0
361	37.0	1.0	3.0	13.0	2.0	11.0
362	37.0	2.0	9.0	2.0	12.0	8.0
363	37.0	3.0	2.0	7.0	1.0	10.0
364	37.0	4.0	6.0	3.0	8.0	1.0
365	37.0	5.0	12.0	10.0	6.0	11.0
366	37.0	6.0	5.0	7.0	6.0	13.0
367	37.0	7.0	1.0	4.0	12.0	5.0
368	37.0	8.0	10.0	9.0	3.0	5.0
369	37.0	9.0	9.0	11.0	4.0	7.0
370	37.0	10.0	10.0	4.0	13.0	8.0
371	38.0	1.0	2.0	9.0	1.0	4.0
372	38.0	2.0	3.0	12.0	10.0	1.0
373	38.0	3.0	1.0	11.0	8.0	13.0
374	38.0	4.0	10.0	2.0	6.0	13.0
375	38.0	5.0	8.0	12.0	4.0	6.0
376	38.0	6.0	5.0	9.0	6.0	11.0
377	38.0	7.0	12.0	7.0	13.0	5.0
378	38.0	8.0	3.0	2.0	8.0	5.0
379	38.0	9.0	11.0	4.0	7.0	3.0
380	38.0	10.0	10.0	9.0	7.0	8.0
381	39.0	1.0	7.0	4.0	2.0	11.0
382	39.0	2.0	1.0	11.0	9.0	12.0
383	39.0	3.0	13.0	8.0	11.0	5.0
384	39.0	4.0	2.0	13.0	12.0	10.0
385	39.0	5.0	9.0	10.0	8.0	4.0
386	39.0	6.0	6.0	10.0	7.0	5.0
387	39.0	7.0	13.0	6.0	3.0	9.0
388	39.0	8.0	1.0	2.0	8.0	6.0
389	39.0	9.0	4.0	5.0	3.0	1.0
390	39.0	10.0	12.0	3.0	8.0	7.0
391	40.0	1.0	10.0	5.0	2.0	4.0
392	40.0	2.0	10.0	8.0	9.0	13.0
393	40.0	3.0	11.0	1.0	3.0	10.0
394	40.0	4.0	7.0	9.0	4.0	3.0
395	40.0	5.0	11.0	5.0	8.0	7.0
396	40.0	6.0	2.0	7.0	6.0	1.0
397	40.0	7.0	8.0	12.0	6.0	3.0
398	40.0	8.0	6.0	4.0	13.0	11.0
399	40.0	9.0	13.0	5.0	12.0	1.0
400	40.0	10.0	11.0	12.0	2.0	9.0
401	41.0	1.0	13.0	7.0	10.0	11.0
402	41.0	2.0	1.0	4.0	8.0	10.0
403	41.0	3.0	5.0	6.0	12.0	10.0
404	41.0	4.0	12.0	7.0	2.0	4.0
405	41.0	5.0	2.0	1.0	6.0	11.0
406	41.0	6.0	13.0	9.0	5.0	2.0
407	41.0	7.0	3.0	9.0	1.0	12.0
408	41.0	8.0	9.0	8.0	7.0	6.0
409	41.0	9.0	3.0	5.0	8.0	11.0
410	41.0	10.0	3.0	13.0	4.0	6.0
411	42.0	1.0	12.0	13.0	9.0	2.0
412	42.0	2.0	8.0	13.0	1.0	11.0
413	42.0	3.0	7.0	5.0	13.0	6.0
414	42.0	4.0	4.0	9.0	8.0	5.0
415	42.0	5.0	1.0	12.0	7.0	4.0
416	42.0	6.0	4.0	6.0	2.0	10.0
417	42.0	7.0	1.0	10.0	5.0	3.0
418	42.0	8.0	10.0	7.0	9.0	11.0
419	42.0	9.0	12.0	11.0	3.0	6.0
420	42.0	10.0	2.0	7.0	8.0	3.0
421	43.0	1.0	9.0	13.0	12.0	4.0
422	43.0	2.0	6.0	10.0	9.0	11.0
423	43.0	3.0	3.0	9.0	1.0	2.0
424	43.0	4.0	11.0	2.0	4.0	5.0
425	43.0	5.0	10.0	5.0	12.0	1.0
426	43.0	6.0	5.0	3.0	13.0	8.0
427	43.0	7.0	8.0	10.0	7.0	2.0
428	43.0	8.0	1.0	6.0	8.0	4.0
429	43.0	9.0	6.0	3.0	12.0	7.0
430	43.0	10.0	1.0	11.0	7.0	13.0
431	44.0	1.0	1.0	5.0	6.0	9.0
432	44.0	2.0	8.0	12.0	6.0	4.0
433	44.0	3.0	2.0	13.0	6.0	10.0
434	44.0	4.0	10.0	11.0	12.0	9.0
435	44.0	5.0	11.0	5.0	4.0	13.0
436	44.0	6.0	11.0	2.0	3.0	1.0
437	44.0	7.0	7.0	10.0	3.0	4.0
438	44.0	8.0	9.0	13.0	3.0	8.0
439	44.0	9.0	5.0	2.0	7.0	8.0
440	44.0	10.0	12.0	13.0	7.0	1.0
441	45.0	1.0	6.0	7.0	2.0	9.0
442	45.0	2.0	11.0	5.0	7.0	1.0
443	45.0	3.0	7.0	13.0	10.0	3.0
444	45.0	4.0	9.0	1.0	10.0	4.0
445	45.0	5.0	11.0	3.0	6.0	4.0
446	45.0	6.0	4.0	8.0	2.0	13.0
447	45.0	7.0	8.0	12.0	11.0	10.0
448	45.0	8.0	8.0	5.0	3.0	9.0
449	45.0	9.0	6.0	12.0	13.0	5.0
450	45.0	10.0	2.0	12.0	1.0	3.0
451	46.0	1.0	10.0	8.0	11.0	2.0
452	46.0	2.0	7.0	4.0	2.0	5.0
453	46.0	3.0	12.0	6.0	2.0	9.0
454	46.0	4.0	11.0	9.0	1.0	7.0
455	46.0	5.0	1.0	5.0	12.0	10.0
456	46.0	6.0	8.0	6.0	3.0	1.0
457	46.0	7.0	3.0	5.0	13.0	9.0
458	46.0	8.0	11.0	12.0	3.0	4.0
459	46.0	9.0	13.0	4.0	6.0	10.0
460	46.0	10.0	8.0	7.0	12.0	13.0
461	47.0	1.0	1.0	11.0	6.0	13.0
462	47.0	2.0	9.0	6.0	2.0	7.0
463	47.0	3.0	6.0	8.0	5.0	10.0
464	47.0	4.0	3.0	7.0	10.0	1.0
465	47.0	5.0	11.0	5.0	2.0	3.0
466	47.0	6.0	13.0	8.0	4.0	3.0
467	47.0	7.0	2.0	4.0	10.0	12.0
468	47.0	8.0	4.0	9.0	5.0	1.0
469	47.0	9.0	8.0	12.0	9.0	11.0
470	47.0	10.0	5.0	7.0	13.0	12.0
471	48.0	1.0	4.0	2.0	12.0	3.0
472	48.0	2.0	13.0	5.0	4.0	6.0
473	48.0	3.0	9.0	10.0	7.0	4.0
474	48.0	4.0	3.0	13.0	1.0	10.0
475	48.0	5.0	6.0	1.0	9.0	12.0
476	48.0	6.0	1.0	7.0	8.0	2.0
477	48.0	7.0	11.0	10.0	8.0	6.0
478	48.0	8.0	3.0	9.0	5.0	8.0
479	48.0	9.0	5.0	7.0	12.0	11.0
480	48.0	10.0	2.0	11.0	13.0	9.0
481	49.0	1.0	8.0	6.0	3.0	12.0
482	49.0	2.0	9.0	6.0	2.0	5.0
483	49.0	3.0	7.0	6.0	4.0	11.0
484	49.0	4.0	3.0	10.0	11.0	5.0
485	49.0	5.0	8.0	2.0	10.0	4.0
486	49.0	6.0	10.0	12.0	7.0	13.0
487	49.0	7.0	13.0	2.0	1.0	11.0
488	49.0	8.0	9.0	3.0	4.0	13.0
489	49.0	9.0	9.0	7.0	1.0	8.0
490	49.0	10.0	1.0	12.0	4.0	5.0
491	50.0	1.0	3.0	2.0	13.0	5.0
492	50.0	2.0	8.0	13.0	1.0	11.0
493	50.0	3.0	13.0	6.0	9.0	4.0
494	50.0	4.0	4.0	11.0	10.0	5.0
495	50.0	5.0	9.0	10.0	1.0	2.0
496	50.0	6.0	7.0	6.0	10.0	3.0
497	50.0	7.0	12.0	1.0	7.0	4.0
498	50.0	8.0	7.0	5.0	8.0	9.0
499	50.0	9.0	2.0	6.0	8.0	12.0
500	50.0	10.0	11.0	9.0	3.0	12.0
501	51.0	1.0	10.0	13.0	4.0	3.0
502	51.0	2.0	5.0	1.0	10.0	9.0
503	51.0	3.0	6.0	11.0	12.0	10.0
504	51.0	4.0	6.0	3.0	5.0	2.0
505	51.0	5.0	12.0	1.0	4.0	2.0
506	51.0	6.0	7.0	13.0	2.0	11.0
507	51.0	7.0	1.0	6.0	8.0	7.0
508	51.0	8.0	3.0	12.0	9.0	7.0
509	51.0	9.0	11.0	4.0	8.0	9.0
510	51.0	10.0	13.0	8.0	12.0	5.0
511	52.0	1.0	4.0	6.0	9.0	11.0
512	52.0	2.0	5.0	4.0	1.0	7.0
513	52.0	3.0	10.0	8.0	3.0	4.0
514	52.0	4.0	6.0	12.0	5.0	10.0
515	52.0	5.0	12.0	11.0	7.0	3.0
516	52.0	6.0	9.0	8.0	13.0	12.0
517	52.0	7.0	7.0	13.0	2.0	10.0
518	52.0	8.0	1.0	3.0	13.0	6.0
519	52.0	9.0	8.0	1.0	2.0	11.0
520	52.0	10.0	2.0	5.0	9.0	3.0
521	53.0	1.0	4.0	13.0	6.0	9.0
522	53.0	2.0	10.0	3.0	13.0	7.0
523	53.0	3.0	1.0	13.0	11.0	2.0
524	53.0	4.0	3.0	12.0	1.0	6.0
525	53.0	5.0	2.0	10.0	9.0	12.0
526	53.0	6.0	5.0	4.0	11.0	12.0
527	53.0	7.0	5.0	8.0	1.0	10.0
528	53.0	8.0	6.0	7.0	5.0	2.0
529	53.0	9.0	8.0	9.0	11.0	7.0
530	53.0	10.0	4.0	2.0	8.0	3.0
531	54.0	1.0	7.0	13.0	11.0	5.0
532	54.0	2.0	11.0	6.0	4.0	1.0
533	54.0	3.0	12.0	3.0	11.0	10.0
534	54.0	4.0	3.0	1.0	5.0	9.0
535	54.0	5.0	4.0	12.0	9.0	7.0
